long_east_deg,lat_north_deg,altitude_m,radius_m,roughness_rms_m
136.06195,4.6777,-2671.43,3393008.4,2.119327081643312
136.06128,4.6727,-2676.57,3393003.56,2.1670777912523365
136.06061,4.6676,-2675.32,3393005.1,2.0153840208095564
136.05994,4.6625,-2675.93,3393004.78,1.4655823039901519
136.05859,4.6524,-2674.39,3393006.89,5.50964527002721
136.05792,4.6473,-2673.88,3393007.69,6.217996365524335
136.05725,4.6422,-2672.18,3393009.67,6.201998185903101
136.05657,4.6371,-2670.6,3393011.54,5.869796569522625
136.0559,4.6321,-2667.43,3393014.99,5.725244478645509
136.05523,4.627,-2668.01,3393014.7,5.77288606958325
136.05456,4.6219,-2666.25,3393016.75,5.773465030180607
136.05389,4.6168,-2664.91,3393018.37,1.5972805945058166
136.05322,4.6118,-2665.62,3393017.95,0.9987759524047993
136.05255,4.6067,-2665.31,3393018.54,1.0728009371555465
136.05188,4.6016,-2666.03,3393018.11,1.3161710733738134
136.05121,4.5965,-2663.93,3393020.49,1.317499024239368
136.04986,4.5864,-2663.3,3393021.7,1.245170093326493
136.04919,4.5813,-2658.57,3393026.71,1.1955183652867332
136.04852,4.5762,-2662.46,3393023.11,1.3136660534315454
136.04785,4.5712,-2660.54,3393025.31,1.3843439278162313
136.04718,4.5661,-2657.95,3393028.19,1.2779878724006175
136.04651,4.561,-2660.42,3393026.01,1.2131411722709202
136.04588,4.5559,-2655.35,3393031.37,1.1571691022283306
136.04523,4.5508,-2656.74,3393030.26,1.139478944017703
136.04458,4.5457,-2657.29,3393029.99,1.2611476335635154
136.04393,4.5406,-2656.46,3393031.1,1.1546980822223716
136.04328,4.5355,-2655.42,3393032.42,1.0771256340107045
136.04263,4.5304,-2656.34,3393031.79,1.303794564820283
136.04198,4.5253,-2654.39,3393034.02,1.1928830306179468
136.04133,4.5202,-2654.47,3393034.22,1.0262914260747336
136.04067,4.5151,-2651.43,3393037.54,0.888183976646502
136.04002,4.51,-2653.91,3393035.34,0.6820196461783162
136.03937,4.5049,-2653.61,3393035.92,0.6172649680850066
136.03872,4.4998,-2654.67,3393035.14,0.7088192416442254
136.03807,4.4947,-2654.06,3393036.03,0.5744651605372567
136.03742,4.4896,-2653.82,3393036.55,0.6443334197370498
136.03677,4.4846,-2652.57,3393038.08,0.9861063097053004
136.03612,4.4795,-2651.94,3393039.0,1.0052332550107461
136.03546,4.4744,-2654.41,3393036.81,1.0219559716655635
136.03481,4.4693,-2653.92,3393037.58,0.9921056314942589
