long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,nasa_score,rf_score,sim_score,nasa_pred,rf_pred,sim_pred,consensus_count,consensus_category
322.059,-0.834,-3559.5,3391782.84,23.214840023051444,41.72729624969265,6.952933176100163e-11,0.34,-0.5552539209852959,0,0,0,0,all_reject
322.05835,-0.8289,-3546.96,3391795.42,22.691384102205333,56.25683194995992,7.768169687932891e-13,0.34,-0.5552539209852959,0,0,0,0,all_reject
322.05769,-0.8238,-3575.1,3391767.32,20.679298623352743,68.68978992843414,4.7109630358655646e-14,0.34,-0.5552539209852959,0,0,0,0,all_reject
322.05704,-0.8188,-3571.18,3391771.28,24.76603698030021,61.138677601248695,3.8282589977575413e-14,0.34,-0.5552539209852959,0,0,0,0,all_reject
322.05638,-0.8137,-3649.86,3391692.64,23.160720537685016,48.72456160047434,7.000638281005625e-12,0.34,-0.5552539209852959,0,0,0,0,all_reject
322.05573,-0.8086,-3766.11,3391576.43,20.97326306103154,45.81409685005471,7.94466125808734e-11,0.33,-0.5552539209852959,0,0,0,0,all_reject
322.05508,-0.8035,-3826.98,3391515.59,17.885620192096805,51.773121381536725,8.540852814019857e-11,0.33,-0.5552539209852959,0,0,0,0,all_reject
322.05442,-0.7984,-3857.52,3391485.09,13.719568625786774,50.34453793207953,2.210852472139288e-09,0.33,-0.5552539209852959,0,0,0,0,all_reject
322.05376,-0.7933,-3861.37,3391481.27,9.924852770024245,43.394434416295,2.8143108485218276e-07,0.33,-0.5552539209852959,0,0,0,0,all_reject
322.05311,-0.7883,-3859.28,3391483.4,7.358475078000631,41.25081712233114,3.1728544648083673e-06,0.33,-0.5552539209852959,0,0,0,0,all_reject
322.05245,-0.7832,-3863.64,3391479.07,5.5397280055141,36.71777346130463,4.397525694584384e-05,0.325,-0.5552539209852959,0,0,0,0,all_reject
322.0518,-0.7781,-3870.18,3391472.57,3.311364308380996,26.284132734841293,0.002225336154831074,0.325,-0.5552539209852959,0,0,0,0,all_reject
322.05114,-0.773,-3872.22,3391470.56,1.156771120033181,2.3735921635900974,0.9967158327939638,0.375,-0.5552539209852959,1,0,0,1,minority_accept
322.05048,-0.7679,-3873.14,3391469.68,1.2710877630776545,2.5793731664260697,0.996407967096265,0.365,-0.5552539209852959,1,0,0,1,minority_accept
322.04983,-0.7629,-3877.83,3391465.02,1.2251349082764982,2.5544118069176496,0.9964788007797435,0.365,-0.5552539209852959,1,0,0,1,minority_accept
322.04917,-0.7578,-3884.35,3391458.54,1.244743687541375,2.759138338618914,0.9961724454319605,0.37,-0.5552539209852959,1,0,0,1,minority_accept
322.04852,-0.7527,-3895.27,3391447.65,1.9292618379147777,3.81895062669153,0.9924057022724265,0.365,-0.5552539209852959,1,0,0,1,minority_accept
322.04786,-0.7476,-3897.34,3391445.62,2.490416414354536,5.73931117362402,0.9635761605042011,0.34,-0.5552539209852959,1,0,0,1,minority_accept
322.0472,-0.7425,-3910.34,3391432.65,2.8990615427080138,8.80829592870143,0.6709733329983931,0.33,-0.5552539209852959,1,0,0,1,minority_accept
322.04655,-0.7374,-3929.56,3391413.47,3.4912936417722937,8.790520876236474,0.6664157434269062,0.32,-0.5552539209852959,1,0,0,1,minority_accept
