long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
354.64207,-2.1092,-1429.87,3394104.12,0.8697248541713622
354.64141,-2.1041,-1426.63,3394107.46,0.9639457276348571
354.64075,-2.099,-1422.2,3394112.0,1.0469491754694387
354.6401,-2.0939,-1416.78,3394117.52,1.1413096190278373
354.63944,-2.0889,-1409.85,3394124.55,1.2011726359049848
354.63878,-2.0838,-1403.58,3394130.92,1.1969557294594912
354.63812,-2.0787,-1398.8,3394135.81,1.181443913894622
354.63746,-2.0736,-1393.59,3394141.12,
354.63681,-2.0685,-1388.92,3394145.89,
354.63549,-2.0583,-1381.55,3394153.47,
354.63483,-2.0532,-1379.0,3394156.12,
354.63418,-2.0481,-1377.56,3394157.66,
354.63352,-2.0431,-1377.29,3394158.03,
354.63286,-2.038,-1375.89,3394159.54,
354.6322,-2.0329,-1375.03,3394160.5,
354.63154,-2.0278,-1376.91,3394158.72,
354.63089,-2.0227,-1372.96,3394162.77,
354.63024,-2.0176,-1371.57,3394164.27,
354.62959,-2.0125,-1371.14,3394164.8,0.3079329029741481
354.62893,-2.0074,-1371.69,3394164.35,0.26161882343218157
354.62828,-2.0023,-1374.43,3394161.71,0.2615465688414615
354.62762,-1.9972,-1375.61,3394160.62,0.24315416587865948
354.62631,-1.987,-1377.03,3394159.4,0.1667488023009078
354.62566,-1.982,-1375.93,3394160.6,0.15763712540042876
354.625,-1.9769,-1374.95,3394161.67,0.17436052292712284
354.62435,-1.9718,-1373.99,3394162.73,0.1782189368898579
354.62369,-1.9667,-1373.24,3394163.58,0.18352822987798542
354.62303,-1.9616,-1372.96,3394163.96,0.1826083274345615
354.62238,-1.9565,-1372.72,3394164.29,0.1267902534910521
354.62172,-1.9514,-1372.45,3394164.66,0.09462536737929964
354.62107,-1.9463,-1372.94,3394164.27,0.22168535539829579
354.62041,-1.9412,-1372.68,3394164.63,0.44957819259827303
354.61976,-1.9361,-1373.64,3394163.76,0.5598263448121439
354.6191,-1.931,-1375.18,3394162.32,0.581878490124004
354.61845,-1.9259,-1374.92,3394162.68,0.575112587337014
354.61779,-1.9208,-1376.07,3394161.63,0.5256597112343222
354.61716,-1.9157,-1377.73,3394160.07,0.49785562607383377
354.6165,-1.9107,-1378.58,3394159.31,0.4474779812711322
354.61584,-1.9056,-1377.98,3394160.0,0.41892709180855686
354.61518,-1.9005,-1378.05,3394160.02,0.3836498651004904
354.61452,-1.8954,-1377.74,3394160.42,0.370421804103192
354.61386,-1.8903,-1378.88,3394159.38,0.39090854358416977
354.6132,-1.8852,-1381.0,3394157.35,0.4548231038109178
354.61254,-1.8801,-1383.26,3394155.18,0.48947656385024707
354.61188,-1.875,-1385.63,3394152.9,0.49537385271219975
354.61122,-1.87,-1388.71,3394149.91,
354.61056,-1.8649,-1390.26,3394148.46,
354.6099,-1.8598,-1391.8,3394147.01,
354.60924,-1.8547,-1392.73,3394146.17,
354.60858,-1.8496,-1394.29,3394144.7,
354.60726,-1.8394,-1398.67,3394140.51,
354.6066,-1.8343,-1400.32,3394138.95,
354.60594,-1.8293,-1402.24,3394137.12,
354.60528,-1.8242,-1404.96,3394134.49,
354.60462,-1.8191,-1407.34,3394132.2,
354.60395,-1.814,-1409.68,3394129.95,
354.60329,-1.8089,-1412.84,3394126.88,
354.60262,-1.8038,-1414.7,3394125.11,
354.60196,-1.7988,-1416.24,3394123.65,
354.6013,-1.7937,-1417.87,3394122.11,
354.60064,-1.7886,-1417.99,3394122.08,
354.59997,-1.7835,-1417.7,3394122.46,
354.59931,-1.7784,-1418.89,3394121.35,
354.59865,-1.7733,-1420.91,3394119.42,
354.59799,-1.7683,-1424.44,3394115.98,
354.59732,-1.7632,-1430.0,3394110.5,
354.59666,-1.7581,-1431.77,3394108.82,
354.596,-1.753,-1428.85,3394111.83,
354.59534,-1.7479,-1425.91,3394114.85,
