long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,source_file
301.22205,-13.5752,-5012.18,3389683.18,,,too_rough.csv
301.22138,-13.5803,-5033.19,3389661.44,,,too_rough.csv
301.2207,-13.5854,-5042.99,3389650.91,,,too_rough.csv
301.22002,-13.5906,-5019.82,3389673.36,,,too_rough.csv
301.21934,-13.5957,-4962.16,3389730.29,,,too_rough.csv
301.21866,-13.6008,-4993.37,3389698.35,,,too_rough.csv
301.21798,-13.6059,-5002.72,3389688.28,,,too_rough.csv
301.2173,-13.611,-5017.32,3389672.96,,,too_rough.csv
301.21661,-13.6161,-5035.87,3389653.69,,,too_rough.csv
301.21593,-13.6213,-5042.29,3389646.55,,,too_rough.csv
301.21524,-13.6264,-5036.71,3389651.41,,,too_rough.csv
301.21386,-13.6366,-5037.95,3389648.74,,,too_rough.csv
301.21318,-13.6417,-5045.94,3389640.03,,,too_rough.csv
301.21249,-13.6468,-5026.54,3389658.71,,,too_rough.csv
301.2118,-13.652,-5031.48,3389653.05,,,too_rough.csv
301.21112,-13.6571,-5069.74,3389614.07,,,too_rough.csv
301.21043,-13.6622,-5134.18,3389548.91,,,too_rough.csv
301.20974,-13.6673,-5143.59,3389538.78,,,too_rough.csv
301.20905,-13.6724,-5148.63,3389533.02,,,too_rough.csv
301.20837,-13.6775,-5146.77,3389534.16,,,too_rough.csv
301.20768,-13.6827,-5146.16,3389534.05,,,too_rough.csv
301.20699,-13.6878,-5143.58,3389535.92,,,too_rough.csv
301.20631,-13.6929,-5147.72,3389531.06,,,too_rough.csv
301.20562,-13.698,-5135.55,3389542.51,,,too_rough.csv
301.20493,-13.7031,-5106.93,3389570.41,,,too_rough.csv
301.20424,-13.7082,-5056.17,3389620.45,,,too_rough.csv
301.20355,-13.7134,-5011.05,3389664.85,,,too_rough.csv
301.20286,-13.7185,-4965.15,3389710.04,,,too_rough.csv
301.20218,-13.7236,-4958.2,3389716.28,,,too_rough.csv
301.20149,-13.7287,-4947.7,3389726.06,,,too_rough.csv
301.2008,-13.7338,-4937.96,3389735.09,,,too_rough.csv
301.20011,-13.739,-4926.63,3389745.71,,,too_rough.csv
301.19943,-13.7441,-4915.7,3389755.93,,,too_rough.csv
301.19874,-13.7492,-4890.33,3389780.59,,,too_rough.csv
301.19805,-13.7543,-4857.05,3389813.16,,,too_rough.csv
301.19736,-13.7594,-4833.11,3389836.39,,,too_rough.csv
301.19667,-13.7645,-4818.64,3389850.14,,,too_rough.csv
301.19599,-13.7697,-4816.38,3389851.69,,,too_rough.csv
301.1953,-13.7748,-4823.97,3389843.39,,,too_rough.csv
301.19461,-13.7799,-4833.98,3389832.67,,,too_rough.csv
301.19392,-13.785,-4821.68,3389844.26,,,too_rough.csv
301.19323,-13.7901,-4796.18,3389869.05,,,too_rough.csv
301.19255,-13.7952,-4820.99,3389843.53,,,too_rough.csv
301.19186,-13.8004,-4815.67,3389848.13,,,too_rough.csv
301.19117,-13.8055,-4825.59,3389837.5,,,too_rough.csv
301.19048,-13.8106,-4821.88,3389840.5,,,too_rough.csv
301.18912,-13.8208,-4856.47,3389804.5,,,too_rough.csv
301.18844,-13.826,-4887.89,3389772.37,,,too_rough.csv
301.18708,-13.8362,-4891.26,3389767.59,,,too_rough.csv
301.1864,-13.8413,-4902.85,3389755.29,,,too_rough.csv
301.18572,-13.8465,-4890.49,3389766.95,,,too_rough.csv
301.18504,-13.8516,-4881.13,3389775.6,,,too_rough.csv
301.18436,-13.8567,-4842.81,3389813.22,,,too_rough.csv
301.18368,-13.8618,-4837.2,3389818.12,,,too_rough.csv
301.183,-13.867,-4834.27,3389820.35,,,too_rough.csv
301.18232,-13.8721,-4851.56,3389802.35,,,too_rough.csv
301.18164,-13.8772,-4798.85,3389854.36,,,too_rough.csv
301.18096,-13.8823,-4772.28,3389880.22,,,too_rough.csv
301.18028,-13.8875,-4797.42,3389854.38,,,too_rough.csv
301.1796,-13.8926,-4794.19,3389856.9,,,too_rough.csv
301.17892,-13.8977,-4807.9,3389842.48,,,too_rough.csv
301.17824,-13.9028,-4789.15,3389860.53,,,too_rough.csv
301.17756,-13.908,-4772.41,3389876.56,,,too_rough.csv
301.17688,-13.9131,-4714.65,3389933.62,,,too_rough.csv
301.1762,-13.9182,-4725.24,3389922.33,,,too_rough.csv
301.17552,-13.9233,-4741.5,3389905.37,,,too_rough.csv
301.17484,-13.9285,-4716.1,3389930.07,,,too_rough.csv
301.17416,-13.9336,-4703.93,3389941.54,,,too_rough.csv
301.17348,-13.9387,-4665.28,3389979.49,,,too_rough.csv
301.1728,-13.9438,-4614.35,3390029.72,,,too_rough.csv
301.17212,-13.949,-4551.98,3390091.39,,,too_rough.csv
301.17144,-13.9541,-4508.94,3390133.74,,,too_rough.csv
301.17075,-13.9592,-4462.11,3390179.87,,,too_rough.csv
301.17007,-13.9643,-4364.79,3390276.49,,,too_rough.csv
301.16939,-13.9695,-4263.75,3390376.83,,,too_rough.csv
301.16871,-13.9746,-4250.95,3390388.93,,,too_rough.csv
301.16803,-13.9797,-4238.46,3390400.72,,,too_rough.csv
301.16735,-13.9848,-4239.18,3390399.31,,,too_rough.csv
301.16667,-13.99,-4209.66,3390428.13,,,too_rough.csv
301.16599,-13.9951,-4186.91,3390450.18,,,too_rough.csv
301.16531,-14.0002,-4156.98,3390479.41,,,too_rough.csv
301.16463,-14.0054,-4163.3,3390472.39,,,too_rough.csv
301.16395,-14.0105,-4147.15,3390487.84,,,too_rough.csv
301.16327,-14.0156,-4142.52,3390491.77,,,too_rough.csv
301.16258,-14.0207,-4081.28,3390552.32,,,too_rough.csv
301.16189,-14.0258,-4076.38,3390556.53,,,too_rough.csv
301.16119,-14.031,-4033.43,3390598.79,,,too_rough.csv
301.16049,-14.0361,-3985.56,3390645.98,,,too_rough.csv
301.15979,-14.0412,-3925.29,3390705.56,,,too_rough.csv
301.1591,-14.0463,-3801.64,3390828.52,,,too_rough.csv
301.1584,-14.0514,-3639.06,3390990.41,,,too_rough.csv
301.1577,-14.0565,-3592.57,3391036.21,,,too_rough.csv
301.157,-14.0616,-3553.23,3391074.86,,,too_rough.csv
301.15631,-14.0668,-3535.96,3391091.44,,,too_rough.csv
301.15561,-14.0719,-3477.13,3391149.59,,,too_rough.csv
301.15491,-14.077,-3369.29,3391256.74,,,too_rough.csv
301.15421,-14.0821,-3288.38,3391336.96,,,too_rough.csv
301.15352,-14.0872,-3238.3,3391386.35,,,too_rough.csv
301.15282,-14.0923,-3277.37,3391346.59,,,too_rough.csv
301.15213,-14.0974,-3287.98,3391335.29,,,too_rough.csv
301.15143,-14.1025,-3293.28,3391329.3,,,too_rough.csv
301.15073,-14.1077,-3339.43,3391282.47,,,too_rough.csv
301.15004,-14.1128,-3405.92,3391215.29,,,too_rough.csv
301.14934,-14.1179,-3367.65,3391252.87,,,too_rough.csv
301.14865,-14.123,-3370.41,3391249.41,,,too_rough.csv
301.14795,-14.1281,-3364.28,3391254.86,,,too_rough.csv
301.14726,-14.1332,-3365.45,3391253.01,,,too_rough.csv
301.14656,-14.1383,-3339.43,3391278.35,,,too_rough.csv
301.14586,-14.1434,-3280.35,3391336.74,,,too_rough.csv
301.14516,-14.1485,-3282.38,3391334.04,,,too_rough.csv
301.14447,-14.1537,-3277.67,3391338.07,,,too_rough.csv
301.14377,-14.1588,-3268.34,3391346.72,,,too_rough.csv
301.14308,-14.1639,-3262.09,3391352.28,,,too_rough.csv
301.14238,-14.169,-3245.3,3391368.39,,,too_rough.csv
301.14168,-14.1741,-3215.59,3391397.42,,,too_rough.csv
301.14099,-14.1792,-3219.43,3391392.9,,,too_rough.csv
301.14029,-14.1843,-3213.04,3391398.6,,,too_rough.csv
301.13959,-14.1894,-3193.19,3391417.77,,,too_rough.csv
301.1389,-14.1946,-3178.73,3391431.55,,,too_rough.csv
301.1382,-14.1997,-3143.0,3391466.61,,,too_rough.csv
301.1375,-14.2048,-3107.44,3391501.48,,,too_rough.csv
301.1368,-14.2099,-3072.91,3391535.33,,,too_rough.csv
301.13611,-14.215,-3036.8,3391570.76,,,too_rough.csv
301.13541,-14.2201,-3013.39,3391593.49,,,too_rough.csv
301.13472,-14.2252,-2969.21,3391636.99,,,too_rough.csv
301.13405,-14.2304,-2920.53,3391684.99,,,too_rough.csv
301.13337,-14.2355,-2869.07,3391735.77,,,too_rough.csv
301.13202,-14.2457,-2729.04,3391874.45,,,too_rough.csv
301.13135,-14.2509,-2678.58,3391924.23,,,too_rough.csv
301.13067,-14.256,-2610.0,3391992.13,,,too_rough.csv
301.13,-14.2611,-2528.21,3392073.24,,,too_rough.csv
301.12933,-14.2663,-2452.61,3392148.17,,,too_rough.csv
301.12865,-14.2714,-2343.39,3392256.71,,,too_rough.csv
301.12797,-14.2765,-2189.93,3392409.49,,,too_rough.csv
301.1273,-14.2816,-2068.7,3392530.04,,,too_rough.csv
