long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m
233.91732,67.8066,-4003.57,3376506.2,1.1097114852178092,1.969075925246733
233.91301,67.7967,-4015.26,3376496.78,1.1019238634895885,1.6054209576374034
233.9108,67.7917,-4017.66,3376495.51,1.1113911824041862,1.4729661386492632
233.90859,67.7867,-4024.18,3376490.13,1.102628970536149,1.3689763374772923
233.90638,67.7817,-4032.7,3376482.74,1.0520950920410543,1.6803207183942972
233.90417,67.7768,-4038.34,3376478.23,0.9422165117938892,2.2633012280551594
233.90196,67.7718,-4041.94,3376475.76,0.595577883726283,3.5198127378992514
233.89976,67.7668,-4046.03,3376472.81,0.2102211525976128,3.8108119452033367
233.89755,67.7618,-4045.8,3376474.17,0.311475758688144,3.4915466128287465
233.89534,67.7569,-4043.52,3376477.58,0.5771245166838804,3.0935949753192857
233.89313,67.7519,-4038.58,3376483.66,0.863868966696919,2.2734691397863647
233.89092,67.7469,-4034.77,3376488.6,1.0748465537517915,1.5384801265040349
233.88871,67.7419,-4027.94,3376496.56,1.1289231322052315,1.1815714143953502
233.88651,67.737,-4021.32,3376504.32,1.1482444944676686,1.382018491512199
233.8843,67.732,-4016.91,3376509.86,1.1302166275603645,1.5030556856052826
233.88209,67.727,-4011.15,3376516.75,1.080088563058893,1.4285041816578266
