long_east,lat_north,altitude
77.81396,18.2385,-2686.04
77.81327,18.2334,-2685.02
77.81258,18.2283,-2681.91
77.8119,18.2232,-2678.07
77.81121,18.2182,-2662.95
77.81052,18.2131,-2651.87
77.80983,18.208,-2654.73
77.80915,18.2029,-2651.46
77.80846,18.1979,-2667.48
77.80777,18.1928,-2677.05
77.80708,18.1877,-2674.27
77.8064,18.1826,-2680.15
77.80571,18.1776,-2673.66
77.80502,18.1725,-2660.31
77.80433,18.1674,-2668.35
77.80365,18.1623,-2669.38
77.80296,18.1573,-2662.54
77.80227,18.1522,-2670.98
77.80158,18.1471,-2668.98
77.80085,18.1421,-2668.33
77.80015,18.137,-2664.85
77.79945,18.132,-2646.0
77.79874,18.1269,-2636.01
77.79804,18.1218,-2645.36
77.79734,18.1168,-2672.55
77.79664,18.1117,-2682.36
77.79594,18.1067,-2681.97
77.79524,18.1016,-2676.81
77.79454,18.0965,-2668.15
77.79384,18.0915,-2642.44
77.79313,18.0864,-2605.87
77.79243,18.0814,-2608.15
77.79173,18.0763,-2558.69
77.79103,18.0712,-2490.42
77.79033,18.0662,-2401.41
77.78963,18.0611,-2343.96
77.78893,18.0561,-2343.48
77.78752,18.0459,-2301.61
77.78682,18.0409,-2281.18
77.78612,18.0358,-2250.19
77.78542,18.0308,-2212.63
77.78472,18.0257,-2131.43
77.78402,18.0206,-2019.35
77.78332,18.0156,-1910.01
77.78262,18.0105,-1882.3
77.78192,18.0055,-1931.8
77.78122,18.0004,-1994.73
77.78052,17.9953,-2062.33
77.77982,17.9903,-2098.16
77.77912,17.9852,-2084.54
77.77842,17.9802,-2020.18
77.77772,17.9751,-2063.55
77.77702,17.97,-2116.93
77.77632,17.965,-2178.52
77.77562,17.9599,-2256.45
77.77492,17.9548,-2257.11
77.77422,17.9498,-2273.45
77.77352,17.9447,-2306.3
77.33819,18.9353,-1846.0
77.33749,18.9302,-1824.16
77.33679,18.9251,-1854.49
77.33609,18.9201,-1874.88
77.33539,18.915,-1887.87
77.3347,18.91,-1892.05
77.334,18.9049,-1925.77
77.33331,18.8998,-1959.16
77.33261,18.8948,-1989.34
77.33192,18.8897,-2017.18
77.33123,18.8847,-2029.39
77.33053,18.8796,-2023.9
77.32984,18.8745,-2012.58
77.32915,18.8695,-2027.62
77.32846,18.8644,-2025.85
77.32776,18.8594,-2025.31
77.32707,18.8543,-2016.84
77.32638,18.8492,-2010.8
77.32569,18.8442,-1993.71
77.32499,18.8391,-1978.77
77.3243,18.8341,-1960.81
77.32361,18.829,-1943.72
77.32292,18.8239,-1906.75
77.32223,18.8189,-1905.02
77.32084,18.8088,-1874.91
77.32015,18.8037,-1916.77
77.31945,18.7986,-1980.2
77.31876,18.7936,-2025.64
77.31806,18.7885,-2023.73
77.31737,18.7835,-1979.13
77.31668,18.7784,-2029.7
77.31599,18.7733,-2039.73
77.31529,18.7683,-2089.74
77.3146,18.7632,-2084.61
77.31391,18.7582,-2054.0
77.31321,18.7531,-2062.95
77.31252,18.748,-2119.82
77.31183,18.743,-2104.42
77.31114,18.7379,-2100.93
77.31044,18.7329,-2104.76
77.30975,18.7278,-2121.25
77.30906,18.7227,-2120.15
77.30837,18.7177,-2113.16
77.30767,18.7126,-2118.17
77.30698,18.7076,-2115.68
77.30629,18.7025,-2126.76
77.30559,18.6974,-2114.46
77.3049,18.6924,-2108.56
77.30421,18.6873,-2109.21
77.30352,18.6822,-2100.58
77.30283,18.6772,-2102.03
77.30213,18.6721,-2102.1
77.30144,18.6671,-2115.52
77.30075,18.662,-2107.9
77.30006,18.6569,-2112.42
77.29936,18.6519,-2127.79
77.29867,18.6468,-2118.79
77.29798,18.6418,-2109.19
77.29729,18.6367,-2095.67
77.2966,18.6316,-2086.79
77.2959,18.6266,-2084.71
77.29521,18.6215,-2074.53
77.29383,18.6114,-2078.83
77.29314,18.6063,-2071.72
77.29244,18.6013,-2067.17
77.29175,18.5962,-2062.78
77.29106,18.5911,-2049.64
77.29037,18.5861,-2037.75
77.28968,18.581,-2023.5
77.28899,18.576,-2003.71
77.2883,18.5709,-1983.84
77.28761,18.5658,-1976.07
77.28691,18.5608,-1966.3
77.28622,18.5557,-1951.78
77.28553,18.5507,-1951.9
77.28484,18.5456,-1958.47
77.28415,18.5405,-1975.64
77.28345,18.5355,-1998.12
77.28276,18.5304,-2009.43
77.28207,18.5253,-2022.92
77.28138,18.5203,-2040.36
77.28068,18.5152,-2072.7
77.27999,18.5102,-2105.86
77.27929,18.5051,-2225.39
77.27859,18.5,-2302.86
77.2779,18.495,-2320.39
77.27721,18.4899,-2246.53
77.27653,18.4849,-2130.17
77.27584,18.4798,-2018.85
77.27516,18.4747,-1890.43
77.27447,18.4697,-1808.86
77.27378,18.4646,-1841.0
77.27309,18.4596,-1845.58
77.2724,18.4545,-1804.93
77.27171,18.4494,-1781.42
77.27101,18.4444,-1784.33
77.27032,18.4393,-1760.77
77.26963,18.4343,-1734.63
77.26894,18.4292,-1721.07
77.26825,18.4241,-1701.75
77.26756,18.4191,-1682.19
77.26687,18.414,-1695.7
77.26618,18.4089,-1699.84
77.26549,18.4039,-1718.24
77.26479,18.3988,-1757.64
77.2641,18.3938,-1763.05
77.26341,18.3887,-1784.47
77.26271,18.3836,-1781.15
77.26202,18.3786,-1792.72
77.26133,18.3735,-1807.29
77.26064,18.3685,-1838.79
77.25995,18.3634,-1830.66
77.25926,18.3583,-1844.87
77.25856,18.3533,-1862.73
77.25787,18.3482,-1873.9
77.25718,18.3431,-1872.9
77.25649,18.3381,-1876.59
77.2558,18.333,-1854.1
77.25511,18.328,-1847.82
77.25442,18.3229,-1856.74
77.25373,18.3178,-1844.96
77.25304,18.3128,-1857.07
77.25235,18.3077,-1841.46
77.25166,18.3027,-1837.54
77.25096,18.2976,-1857.6
77.25028,18.2925,-1889.83
77.24959,18.2875,-1911.4
77.2489,18.2824,-1914.82
77.24821,18.2773,-1914.1
77.24752,18.2723,-1923.45
77.24683,18.2672,-1932.2
77.24614,18.2621,-1940.68
77.24545,18.2571,-1949.17
77.24476,18.252,-1950.96
77.24407,18.2469,-1946.73
77.24339,18.2419,-1910.47
77.2427,18.2368,-1843.19
77.24202,18.2317,-1767.51
77.24133,18.2267,-1712.28
77.24064,18.2216,-1709.68
77.23995,18.2165,-1740.48
77.23857,18.2064,-1798.68
77.23788,18.2013,-1821.4
77.23719,18.1962,-1832.54
77.2365,18.1912,-1895.44
77.23581,18.1861,-1978.98
77.23512,18.181,-2054.33
77.23443,18.176,-2063.84
77.23374,18.1709,-2066.23
77.23305,18.1658,-2071.77
77.23236,18.1608,-2068.23
77.23167,18.1557,-2061.79
77.23098,18.1506,-2058.49
77.23029,18.1456,-2059.32
77.22961,18.1405,-2059.36
77.22892,18.1354,-2064.99
77.22823,18.1304,-2061.6
77.22754,18.1253,-2077.01
77.22685,18.1202,-2076.71
77.22616,18.1152,-2090.91
77.22547,18.1101,-2103.68
77.22478,18.105,-2107.47
77.22409,18.1,-2100.55
77.22341,18.0949,-2094.87
77.22201,18.0848,-2092.0
77.22132,18.0798,-2087.43
77.22063,18.0747,-2077.37
77.21994,18.0696,-2079.81
77.21925,18.0646,-2072.02
77.21855,18.0595,-2073.78
77.21786,18.0545,-2099.41
77.21717,18.0494,-2098.67
77.21648,18.0444,-2082.97
77.21578,18.0393,-2082.75
77.21509,18.0343,-2074.54
77.2144,18.0292,-2044.6
77.21371,18.0241,-2032.57
77.21302,18.0191,-2026.41
77.21232,18.014,-2015.98
77.21163,18.009,-2022.04
77.21094,18.0039,-2021.26
77.21025,17.9989,-2028.29
77.20955,17.9938,-2035.77
77.20886,17.9887,-2032.48
77.20817,17.9837,-2023.17
77.20748,17.9786,-2021.06
77.20679,17.9736,-2004.48
77.20609,17.9685,-2015.55
77.2054,17.9635,-2018.34
77.20471,17.9584,-2014.59
77.20402,17.9533,-2006.73
77.20333,17.9483,-2002.7
77.20264,17.9432,-2012.23
77.84637,18.9374,-2136.23
77.84568,18.9323,-2126.51
77.84499,18.9273,-2117.96
77.8443,18.9222,-2117.21
77.84361,18.9172,-2106.78
77.84292,18.9121,-2100.6
77.84224,18.907,-2091.65
77.84155,18.902,-2112.36
77.84086,18.8969,-2134.43
77.84017,18.8919,-2147.6
77.83948,18.8868,-2186.29
77.83879,18.8818,-2223.58
77.83812,18.8767,-2228.94
77.83742,18.8717,-2217.22
77.83672,18.8666,-2216.95
77.83602,18.8615,-2218.13
77.83533,18.8565,-2202.05
77.83463,18.8514,-2190.29
77.83393,18.8463,-2195.13
77.83323,18.8413,-2184.78
77.83254,18.8362,-2179.26
77.83184,18.8311,-2160.48
77.83114,18.8261,-2159.88
77.83044,18.821,-2144.61
77.82975,18.816,-2113.48
77.82905,18.8109,-2100.54
77.82835,18.8058,-2089.69
77.82766,18.8008,-2085.94
77.82696,18.7957,-2081.48
77.82626,18.7906,-2082.66
77.82556,18.7856,-2081.43
77.82486,18.7805,-2100.44
77.82416,18.7754,-2107.36
77.82347,18.7704,-2094.75
77.82277,18.7653,-2116.92
77.82207,18.7602,-2117.35
77.82137,18.7552,-2164.2
77.82067,18.7501,-2193.54
77.81998,18.745,-2212.67
77.81928,18.74,-2220.66
77.81858,18.7349,-2233.16
77.81788,18.7299,-2245.54
77.81718,18.7248,-2251.7
77.81649,18.7197,-2258.7
77.81579,18.7147,-2271.86
77.81509,18.7096,-2280.33
77.81439,18.7045,-2292.74
77.81369,18.6995,-2302.6
77.813,18.6944,-2333.99
77.8116,18.6843,-2373.58
77.8109,18.6792,-2383.73
77.8095,18.6691,-2406.35
77.80881,18.664,-2411.37
77.80812,18.659,-2413.23
77.80742,18.6539,-2421.13
77.80673,18.6488,-2430.66
77.80603,18.6438,-2435.63
77.80534,18.6387,-2450.79
77.80465,18.6337,-2461.66
77.80395,18.6286,-2476.98
77.80326,18.6236,-2489.55
77.80256,18.6185,-2500.82
77.80187,18.6134,-2509.1
77.80118,18.6084,-2514.84
77.80048,18.6033,-2521.28
77.79979,18.5983,-2527.75
77.7991,18.5932,-2531.54
