long_east,lat_north,altitude
137.32029,-4.4928,-4404.9
137.31963,-4.4979,-4409.96
137.31897,-4.5029,-4414.56
137.31831,-4.508,-4418.53
137.31765,-4.5131,-4422.67
137.31699,-4.5182,-4427.34
137.31634,-4.5233,-4430.78
137.31568,-4.5284,-4434.03
137.31502,-4.5335,-4437.64
137.31436,-4.5386,-4440.94
137.3137,-4.5436,-4445.06
137.31304,-4.5487,-4449.05
137.3124,-4.5538,-4450.44
137.31107,-4.564,-4457.52
137.31041,-4.5691,-4459.62
137.30975,-4.5742,-4465.61
137.30908,-4.5793,-4463.33
137.30842,-4.5844,-4463.94
137.30776,-4.5895,-4463.85
137.30709,-4.5945,-4464.22
137.30643,-4.5996,-4462.15
137.30577,-4.6047,-4462.88
137.30511,-4.6098,-4464.0
137.30444,-4.6149,-4466.19
137.30378,-4.62,-4465.75
137.30312,-4.6251,-4468.3
137.30245,-4.6302,-4480.55
137.30179,-4.6353,-4475.0
137.30113,-4.6404,-4463.99
137.30047,-4.6455,-4468.12
137.2998,-4.6506,-4469.46
137.29912,-4.6557,-4471.99
137.29846,-4.6608,-4473.83
137.29779,-4.6659,-4472.26
137.29713,-4.671,-4472.94
137.29646,-4.6761,-4476.21
137.2958,-4.6812,-4476.92
137.29513,-4.6863,-4484.2
137.29446,-4.6914,-4472.92
137.2938,-4.6965,-4469.48
137.29313,-4.7016,-4477.32
137.29247,-4.7067,-4473.42
137.2918,-4.7118,-4476.81
137.29113,-4.7169,-4471.07
137.29047,-4.722,-4456.86
137.2898,-4.7271,-4446.18
137.28914,-4.7322,-4433.04
137.2878,-4.7424,-4414.1
137.28714,-4.7475,-4395.35
137.28647,-4.7526,-4383.5
137.2858,-4.7577,-4355.93
137.28513,-4.7628,-4330.69
137.28447,-4.7679,-4320.91
137.2838,-4.773,-4316.75
137.28314,-4.7781,-4314.01
137.28247,-4.7832,-4310.23
137.28181,-4.7883,-4307.43
137.28115,-4.7934,-4304.2
137.28048,-4.7984,-4331.75
137.27915,-4.8086,-4312.51
137.27849,-4.8137,-4285.45
137.27782,-4.8188,-4267.13
137.27716,-4.8239,-4200.94
137.27649,-4.829,-4070.78
137.27582,-4.8341,-4047.94
137.27516,-4.8392,-4021.47
137.27449,-4.8443,-3927.84
137.27383,-4.8494,-3974.67
137.27316,-4.8545,-3975.5
137.27251,-4.8596,-3932.49
137.27184,-4.8647,-3874.73
