long_east,lat_north,altitude
175.29013,-14.7644,-1897.84
175.28945,-14.7593,-1898.22
175.28878,-14.7541,-1895.08
175.2881,-14.749,-1895.31
175.28742,-14.7439,-1893.91
175.28674,-14.7388,-1880.46
175.28607,-14.7337,-1865.4
175.28539,-14.7286,-1867.04
175.28472,-14.7234,-1847.67
175.28404,-14.7183,-1840.31
175.28336,-14.7132,-1792.53
175.28269,-14.7081,-1834.69
175.28201,-14.703,-1916.92
175.28134,-14.6978,-1923.12
175.28066,-14.6927,-1881.89
175.27999,-14.6876,-1832.37
175.27931,-14.6825,-1871.14
175.27863,-14.6774,-1891.51
175.27796,-14.6722,-1900.38
175.27728,-14.6671,-1897.58
175.27661,-14.662,-1897.96
175.27593,-14.6569,-1900.1
175.27525,-14.6518,-1900.28
175.27458,-14.6466,-1899.98
175.2739,-14.6415,-1900.17
175.27323,-14.6364,-1901.11
175.27255,-14.6313,-1902.73
175.27187,-14.6262,-1903.28
175.2712,-14.621,-1904.2
175.27052,-14.6159,-1905.1
175.26985,-14.6108,-1907.06
175.26917,-14.6057,-1907.25
175.26849,-14.6006,-1908.18
175.26782,-14.5954,-1907.65
175.26714,-14.5903,-1908.08
175.26647,-14.5852,-1908.72
175.26579,-14.5801,-1908.48
175.26512,-14.575,-1907.97
175.26444,-14.5698,-1907.56
175.26376,-14.5647,-1907.48
175.26309,-14.5596,-1909.09
175.26241,-14.5545,-1908.53
175.26174,-14.5494,-1909.16
175.26106,-14.5442,-1908.85
175.26039,-14.5391,-1909.31
175.25971,-14.534,-1909.98
175.25903,-14.5289,-1909.74
175.25835,-14.5237,-1909.15
175.25767,-14.5186,-1909.69
175.257,-14.5135,-1909.54
175.25632,-14.5084,-1908.51
175.25564,-14.5032,-1910.12
175.25496,-14.4981,-1907.72
175.25429,-14.493,-1911.51
175.25361,-14.4878,-1911.3
175.25293,-14.4827,-1911.49
175.25225,-14.4776,-1908.36
175.25157,-14.4724,-1912.23
175.2509,-14.4673,-1911.31
175.25022,-14.4622,-1911.07
175.24954,-14.4571,-1906.68
175.24886,-14.4519,-1907.97
175.24818,-14.4468,-1906.77
175.24751,-14.4417,-1907.52
175.24683,-14.4365,-1910.34
175.24615,-14.4314,-1912.12
175.24547,-14.4263,-1911.45
175.2448,-14.4212,-1912.35
175.24412,-14.416,-1911.0
175.24344,-14.4109,-1910.5
175.24276,-14.4058,-1909.47
175.24209,-14.4006,-1909.31
175.24141,-14.3955,-1909.7
175.24073,-14.3904,-1908.13
175.24005,-14.3852,-1909.73
175.23937,-14.3801,-1911.35
175.2387,-14.375,-1911.09
175.23802,-14.3699,-1911.25
175.23734,-14.3647,-1911.08
175.23666,-14.3596,-1910.52
175.23599,-14.3545,-1909.56
175.23531,-14.3493,-1910.46
175.23463,-14.3442,-1910.31
175.23395,-14.3391,-1909.61
175.23327,-14.334,-1911.7
175.2326,-14.3288,-1911.07
175.23192,-14.3237,-1909.27
175.23054,-14.3135,-1906.71
175.22986,-14.3084,-1903.89
175.22917,-14.3033,-1902.81
175.22849,-14.2982,-1900.83
175.2278,-14.293,-1900.24
175.22712,-14.2879,-1901.1
175.22644,-14.2828,-1901.28
175.22575,-14.2777,-1901.05
175.22507,-14.2726,-1899.03
175.22438,-14.2675,-1902.06
175.2237,-14.2624,-1901.79
175.22302,-14.2572,-1893.43
175.22233,-14.2521,-1895.06
175.22165,-14.247,-1901.24
175.22028,-14.2368,-1904.58
175.21959,-14.2317,-1901.34
175.21891,-14.2266,-1897.4
175.21823,-14.2214,-1895.36
175.21754,-14.2163,-1902.55
175.21686,-14.2112,-1897.87
175.21617,-14.2061,-1896.16
175.21549,-14.201,-1907.1
175.2148,-14.1959,-1903.12
175.21412,-14.1908,-1908.12
175.21344,-14.1857,-1911.37
175.21275,-14.1805,-1911.11
175.21207,-14.1754,-1913.46
175.21139,-14.1703,-1913.26
175.2107,-14.1652,-1916.07
175.21002,-14.1601,-1918.44
175.20933,-14.155,-1920.2
175.20865,-14.1499,-1922.55
175.20797,-14.1447,-1922.26
175.20728,-14.1396,-1923.62
175.2066,-14.1345,-1924.41
175.20592,-14.1294,-1925.06
175.20523,-14.1243,-1922.22
175.20455,-14.1192,-1924.25
175.20388,-14.114,-1923.56
175.2032,-14.1089,-1923.04
175.20252,-14.1038,-1924.29
175.20184,-14.0987,-1924.14
175.20117,-14.0935,-1925.4
175.20049,-14.0884,-1924.36
175.19981,-14.0833,-1923.72
175.19913,-14.0782,-1920.54
175.19845,-14.0731,-1922.32
175.31667,-14.0784,-1937.12
175.316,-14.0835,-1933.84
175.31533,-14.0886,-1935.54
175.31465,-14.0937,-1934.47
175.31398,-14.0988,-1934.27
175.31331,-14.1039,-1934.42
175.31264,-14.109,-1931.55
175.31197,-14.1141,-1932.04
175.31129,-14.1193,-1930.65
175.31057,-14.1242,-1930.41
175.30991,-14.1293,-1928.38
175.30925,-14.1345,-1925.1
175.30858,-14.1396,-1922.5
175.30792,-14.1447,-1923.32
