long_east_deg,lat_north_deg,altitude_m,radius_m
354.54512,-1.7769,-1417.7,3394121.68
354.54382,-1.787,-1417.16,3394122.0
354.54317,-1.7921,-1414.95,3394124.1
354.54253,-1.7972,-1413.55,3394125.39
354.54188,-1.8023,-1412.18,3394126.65
354.54123,-1.8074,-1411.02,3394127.7
354.54058,-1.8125,-1409.54,3394129.07
354.53994,-1.8175,-1408.2,3394130.3
354.53929,-1.8226,-1407.12,3394131.27
354.53864,-1.8277,-1405.74,3394132.54
354.53799,-1.8328,-1404.94,3394133.22
354.53735,-1.8379,-1404.38,3394133.67
354.5367,-1.843,-1404.1,3394133.84
354.53605,-1.848,-1403.02,3394134.81
354.5354,-1.8531,-1402.61,3394135.11
354.53476,-1.8582,-1402.32,3394135.29
354.53411,-1.8633,-1402.37,3394135.13
354.53346,-1.8684,-1400.97,3394136.42
354.53281,-1.8735,-1399.62,3394137.66
354.53217,-1.8785,-1397.74,3394139.43
354.53151,-1.8836,-1397.41,3394139.66
354.53084,-1.8887,-1399.06,3394137.89
354.53018,-1.8938,-1396.35,3394140.48
354.52952,-1.8989,-1395.45,3394141.27
354.52886,-1.904,-1395.1,3394141.5
354.5282,-1.909,-1392.16,3394144.32
354.52754,-1.9141,-1388.85,3394147.52
354.52688,-1.9192,-1387.83,3394148.42
354.52621,-1.9243,-1385.23,3394150.9
354.52555,-1.9294,-1382.64,3394153.38
354.52489,-1.9345,-1382.4,3394153.5
354.52423,-1.9396,-1381.64,3394154.15
354.52357,-1.9446,-1382.93,3394152.74
354.52291,-1.9497,-1384.73,3394150.82
354.52225,-1.9548,-1386.0,3394149.44
354.52158,-1.9599,-1385.72,3394149.6
354.52092,-1.965,-1385.75,3394149.45
354.52026,-1.9701,-1387.01,3394148.08
354.5196,-1.9751,-1387.66,3394147.31
354.51894,-1.9802,-1387.81,3394147.04
354.51828,-1.9853,-1388.2,3394146.54
354.51762,-1.9904,-1387.91,3394146.71
354.51696,-1.9955,-1386.88,3394147.62
354.51629,-2.0006,-1386.53,3394147.85
354.51563,-2.0056,-1385.41,3394148.85
354.51497,-2.0107,-1384.08,3394150.05
354.51431,-2.0158,-1383.32,3394150.69
354.51365,-2.0209,-1382.65,3394151.24
354.51299,-2.026,-1382.7,3394151.07
354.51233,-2.0311,-1381.67,3394151.98
354.51166,-2.0361,-1383.26,3394150.27
354.511,-2.0412,-1384.38,3394149.03
354.51034,-2.0463,-1384.44,3394148.85
354.50968,-2.0514,-1383.77,3394149.4
354.50902,-2.0565,-1383.46,3394149.59
354.50836,-2.0616,-1385.79,3394147.13
354.5077,-2.0666,-1387.35,3394145.45
354.50703,-2.0717,-1387.78,3394144.9
354.50637,-2.0768,-1388.16,3394144.4
354.50571,-2.0819,-1387.53,3394144.91
354.50506,-2.087,-1383.16,3394149.16
354.5044,-2.0921,-1379.4,3394152.79
354.50375,-2.0972,-1379.02,3394153.05
354.50309,-2.1022,-1379.92,3394152.02
354.50244,-2.1073,-1381.5,3394150.31
354.50178,-2.1124,-1381.18,3394150.51
354.50113,-2.1175,-1380.01,3394151.55
354.50047,-2.1226,-1380.58,3394150.86
354.49982,-2.1277,-1380.17,3394151.14
354.49916,-2.1328,-1381.01,3394150.17
354.49851,-2.1379,-1381.03,3394150.03
354.49785,-2.143,-1381.49,3394149.44
354.4972,-2.148,-1382.56,3394148.25
354.49654,-2.1531,-1385.02,3394145.66
354.49589,-2.1582,-1386.47,3394144.08
354.49523,-2.1633,-1389.14,3394141.29
354.49458,-2.1684,-1392.19,3394138.11
354.49392,-2.1735,-1394.53,3394135.65
354.49327,-2.1786,-1396.82,3394133.23
354.49261,-2.1837,-1399.49,3394130.43
354.49196,-2.1888,-1403.77,3394126.02
354.4913,-2.1938,-1408.67,3394120.99
354.49065,-2.1989,-1415.12,3394114.41
354.48999,-2.204,-1421.86,3394107.54
354.48934,-2.2091,-1427.2,3394102.07
354.48868,-2.2142,-1432.84,3394096.3
354.48803,-2.2193,-1437.79,3394091.22
354.48737,-2.2244,-1447.1,3394081.78
354.48672,-2.2295,-1452.51,3394076.24
354.48606,-2.2346,-1452.2,3394076.42
354.48541,-2.2396,-1450.65,3394077.83
354.48475,-2.2447,-1447.32,3394081.03
354.48344,-2.2549,-1444.53,3394083.56
354.48278,-2.26,-1445.31,3394082.65
354.48213,-2.2651,-1446.57,3394081.26
354.48147,-2.2702,-1448.0,3394079.7
354.48082,-2.2753,-1448.77,3394078.8
354.48016,-2.2804,-1447.02,3394080.42
354.47951,-2.2854,-1444.04,3394083.27
354.47886,-2.2905,-1443.0,3394084.17
354.4782,-2.2956,-1443.4,3394083.63
354.47755,-2.3007,-1445.0,3394081.89
354.47689,-2.3058,-1447.33,3394079.43
354.47624,-2.3109,-1446.58,3394080.04
354.47558,-2.316,-1445.46,3394081.02
354.47493,-2.3211,-1444.43,3394081.92
354.47427,-2.3262,-1440.73,3394085.48
354.47362,-2.3313,-1438.56,3394087.51
354.47296,-2.3364,-1438.62,3394087.32
354.47231,-2.3415,-1438.19,3394087.61
354.47165,-2.3466,-1438.32,3394087.35
354.47099,-2.3517,-1439.75,3394085.78
354.47034,-2.3568,-1442.17,3394083.22
354.46968,-2.3619,-1448.56,3394076.7
354.46903,-2.367,-1461.41,3394063.71
354.46837,-2.3721,-1476.1,3394048.88
354.46772,-2.3772,-1472.8,3394052.05
354.46706,-2.3823,-1460.82,3394063.89
354.46641,-2.3874,-1456.26,3394068.31
354.46575,-2.3925,-1458.61,3394065.83
354.4651,-2.3976,-1462.44,3394061.86
354.46444,-2.4027,-1466.99,3394057.16
354.46379,-2.4078,-1470.79,3394053.22
354.46313,-2.4129,-1474.9,3394048.97
354.46248,-2.418,-1478.82,3394044.91
354.46182,-2.4231,-1483.24,3394040.35
354.46117,-2.4282,-1486.28,3394037.16
354.46051,-2.4333,-1486.66,3394036.64
354.45986,-2.4384,-1487.53,3394035.63
354.4592,-2.4435,-1489.49,3394033.53
354.01852,-1.4513,-1476.0,3394060.95
354.01786,-1.4563,-1473.16,3394063.7
354.01721,-1.4614,-1470.77,3394066.0
354.01655,-1.4665,-1468.51,3394068.17
354.0159,-1.4717,-1467.31,3394069.29
354.01525,-1.4768,-1467.21,3394069.3
354.01459,-1.4819,-1467.47,3394068.95
354.01394,-1.487,-1468.05,3394068.27
354.01328,-1.4921,-1467.5,3394068.73
