long_east_deg,lat_north_deg,altitude_m,radius_m
135.61163,4.5901,-2627.63,3393061.32
135.61097,4.5952,-2627.45,3393061.22
135.6103,4.6003,-2627.42,3393060.98
135.60964,4.6054,-2629.28,3393058.84
135.60898,4.6104,-2629.96,3393057.89
135.60831,4.6155,-2632.56,3393055.02
135.60765,4.6206,-2628.1,3393059.2
135.60699,4.6257,-2632.12,3393054.91
135.60633,4.6308,-2636.64,3393050.11
135.60566,4.6359,-2633.6,3393052.88
135.605,4.641,-2633.09,3393053.12
135.60434,4.6461,-2636.04,3393049.89
135.60367,4.6511,-2635.3,3393050.36
135.60301,4.6562,-2638.24,3393047.14
135.60235,4.6613,-2635.54,3393049.57
135.60168,4.6664,-2638.61,3393046.23
135.60103,4.6715,-2642.36,3393042.22
135.60037,4.6766,-2638.53,3393045.77
135.5997,4.6816,-2638.49,3393045.53
135.59904,4.6867,-2636.2,3393047.54
135.59837,4.6918,-2636.87,3393046.59
135.59771,4.6969,-2635.26,3393047.92
135.59704,4.702,-2633.81,3393049.09
135.59638,4.7071,-2633.42,3393049.2
135.59571,4.7122,-2635.11,3393047.23
135.59505,4.7173,-2634.7,3393047.36
135.59438,4.7224,-2632.9,3393048.88
135.59372,4.7275,-2629.52,3393051.98
135.59305,4.7326,-2626.79,3393054.43
135.59239,4.7377,-2629.05,3393051.89
135.59172,4.7428,-2629.01,3393051.65
135.59106,4.7479,-2626.62,3393053.76
135.59039,4.753,-2626.13,3393053.97
135.58973,4.7581,-2623.53,3393056.29
135.58906,4.7632,-2626.55,3393052.99
135.5884,4.7683,-2616.63,3393062.63
135.58772,4.7734,-2625.69,3393053.29
135.58706,4.7785,-2628.19,3393050.51
135.58639,4.7836,-2629.02,3393049.39
135.58572,4.7887,-2630.35,3393047.78
135.58506,4.7938,-2632.24,3393045.6
135.58439,4.7989,-2631.84,3393045.71
135.58372,4.804,-2630.49,3393046.78
135.58306,4.8091,-2629.05,3393047.93
135.58239,4.8142,-2630.39,3393046.31
135.58173,4.8193,-2632.7,3393043.71
135.58106,4.8244,-2632.92,3393043.21
135.58039,4.8295,-2634.92,3393040.92
135.57973,4.8346,-2635.94,3393039.62
135.57906,4.8397,-2636.22,3393039.05
135.57839,4.8448,-2636.17,3393038.82
135.57773,4.8499,-2634.69,3393040.01
135.57706,4.855,-2636.07,3393038.34
135.57639,4.8601,-2637.11,3393037.02
135.57573,4.8652,-2637.51,3393036.33
135.57506,4.8703,-2638.47,3393035.09
135.57371,4.8805,-2643.07,3393029.91
135.57305,4.8856,-2644.42,3393028.27
135.57239,4.8907,-2642.08,3393030.32
135.57173,4.8958,-2643.48,3393028.63
135.57106,4.9009,-2642.82,3393029.0
135.5704,4.906,-2643.12,3393028.41
135.56974,4.9111,-2645.22,3393026.02
135.56908,4.9162,-2648.17,3393022.78
135.56842,4.9213,-2647.77,3393022.89
135.56776,4.9264,-2648.48,3393021.88
135.5671,4.9315,-2649.56,3393020.51
135.56644,4.9366,-2650.22,3393019.56
135.56578,4.9417,-2649.83,3393019.66
135.56512,4.9467,-2649.39,3393019.81
135.56446,4.9518,-2649.35,3393019.56
135.5638,4.9569,-2651.57,3393017.05
135.56314,4.962,-2651.03,3393017.3
135.56248,4.9671,-2651.87,3393016.17
135.56182,4.9722,-2652.16,3393015.59
135.56117,4.9773,-2653.16,3393014.29
135.56052,4.9824,-2653.43,3393013.73
135.55986,4.9875,-2653.48,3393013.38
135.5592,4.9926,-2654.19,3393012.37
135.55854,4.9977,-2655.91,3393010.36
135.68647,4.0064,-2613.52,3393104.68
135.68581,4.0115,-2612.6,3393105.36
135.68514,4.0166,-2613.31,3393104.42
135.68448,4.0217,-2611.77,3393105.72
135.68381,4.0268,-2610.44,3393106.81
135.68314,4.0318,-2609.62,3393107.39
135.68248,4.0369,-2605.79,3393110.98
135.68181,4.042,-2604.04,3393112.5
135.68115,4.0471,-2600.68,3393115.62
135.68047,4.0522,-2598.62,3393117.44
135.6798,4.0573,-2600.7,3393115.11
135.67914,4.0624,-2600.32,3393115.25
135.67847,4.0674,-2600.46,3393114.87
135.6778,4.0725,-2598.52,3393116.56
135.67714,4.0776,-2589.41,3393125.43
135.67647,4.0827,-2610.27,3393104.32
135.6758,4.0878,-2594.47,3393119.88
135.67513,4.0929,-2600.7,3393113.41
135.67447,4.098,-2600.24,3393113.62
135.6738,4.103,-2600.12,3393113.5
135.67313,4.1081,-2601.59,3393111.78
135.67246,4.1132,-2599.86,3393113.27
135.6718,4.1183,-2598.0,3393114.89
135.67113,4.1234,-2596.28,3393116.36
135.67046,4.1285,-2595.46,3393116.94
135.66979,4.1335,-2593.76,3393118.39
135.66913,4.1386,-2595.22,3393116.69
135.66846,4.1437,-2593.99,3393117.68
135.66779,4.1488,-2594.89,3393116.53
135.66712,4.1539,-2595.59,3393115.58
135.66645,4.159,-2597.66,3393113.26
135.66579,4.1641,-2599.94,3393110.73
135.66512,4.1691,-2602.03,3393108.39
135.66446,4.1742,-2603.04,3393107.13
135.66379,4.1793,-2602.91,3393107.01
135.66313,4.1844,-2601.67,3393108.0
135.66246,4.1895,-2600.4,3393109.02
135.6618,4.1945,-2597.28,3393111.89
135.66113,4.1996,-2591.16,3393117.76
135.66047,4.2047,-2591.39,3393117.29
135.6598,4.2098,-2590.21,3393118.22
135.65914,4.2149,-2589.96,3393118.22
135.65847,4.2199,-2590.65,3393117.28
135.65781,4.225,-2595.45,3393112.23
135.65714,4.2301,-2595.34,3393112.09
135.65648,4.2352,-2595.94,3393111.24
135.65581,4.2403,-2595.82,3393111.11
135.65515,4.2453,-2594.3,3393112.38
135.65448,4.2504,-2593.73,3393112.7
135.65382,4.2555,-2594.74,3393111.45
135.65316,4.2606,-2594.62,3393111.32
135.65249,4.2657,-2593.3,3393112.38
135.65183,4.2707,-2595.71,3393109.71
135.65117,4.2758,-2596.05,3393109.12
135.6505,4.2809,-2598.91,3393106.0
135.64984,4.286,-2601.33,3393103.33
135.64917,4.291,-2605.0,3393099.4
135.64851,4.2961,-2604.54,3393099.6
135.64785,4.3012,-2606.95,3393096.94
135.64718,4.3063,-2607.98,3393095.65
135.64652,4.3114,-2607.87,3393095.51
135.64585,4.3164,-2606.56,3393096.56
135.64519,4.3215,-2606.18,3393096.68
135.64452,4.3266,-2606.78,3393095.83
135.64386,4.3317,-2604.81,3393097.54
135.6432,4.3368,-2606.08,3393096.02
135.64253,4.3418,-2605.31,3393096.53
135.64187,4.3469,-2603.61,3393097.97
135.6412,4.352,-2604.38,3393096.95
135.64055,4.357,-2605.21,3393095.86
135.63921,4.3672,-2606.22,3393094.33
135.63855,4.3723,-2606.87,3393093.42
135.63788,4.3774,-2608.51,3393091.52
135.63721,4.3825,-2610.2,3393089.56
135.63655,4.3875,-2610.53,3393088.97
135.63588,4.3926,-2611.12,3393088.12
135.63521,4.3977,-2612.56,3393086.42
135.63454,4.4028,-2612.69,3393086.03
135.63388,4.4079,-2611.95,3393086.51
135.63321,4.413,-2611.45,3393086.75
135.63254,4.418,-2613.09,3393084.85
135.63188,4.4231,-2612.26,3393085.42
135.63121,4.4282,-2614.06,3393083.36
135.63054,4.4333,-2612.7,3393084.45
135.62988,4.4384,-2613.8,3393083.09
