long_east_deg,lat_north_deg,altitude_m,radius_m
234.40619,68.345,-4096.97,3376292.13
234.40387,68.34,-4096.97,3376293.24
234.40156,68.3351,-4096.27,3376295.05
234.39924,68.3301,-4096.0,3376296.43
234.39693,68.3251,-4094.13,3376299.41
234.39462,68.3201,-4091.88,3376302.78
234.3923,68.3151,-4093.83,3376301.94
234.38999,68.3101,-4094.7,3376302.18
234.38767,68.3052,-4095.41,3376302.58
234.38536,68.3002,-4096.63,3376302.47
234.38297,68.2952,-4097.01,3376303.21
234.38066,68.2902,-4095.25,3376306.09
234.37835,68.2852,-4095.62,3376306.84
234.37604,68.2802,-4094.07,3376309.5
234.37373,68.2753,-4093.37,3376311.32
234.37142,68.2703,-4092.42,3376313.39
234.36911,68.2653,-4091.38,3376315.54
234.3668,68.2603,-4089.1,3376318.94
234.36449,68.2553,-4088.05,3376321.11
234.36218,68.2503,-4086.28,3376323.99
234.35987,68.2454,-4085.24,3376326.15
234.35756,68.2404,-4084.88,3376327.62
234.35525,68.2354,-4084.88,3376328.74
234.35294,68.2304,-4086.83,3376327.91
234.35063,68.2254,-4087.28,3376328.57
234.34832,68.2204,-4090.37,3376326.6
234.34601,68.2155,-4092.32,3376325.77
234.34139,68.2055,-4098.36,3376321.96
234.33908,68.2005,-4101.26,3376320.18
234.33691,68.1954,-4106.57,3376315.99
234.33458,68.1905,-4107.5,3376316.18
234.33225,68.1855,-4111.17,3376313.62
234.32992,68.1806,-4116.56,3376309.35
234.32758,68.1756,-4123.01,3376304.01
234.32525,68.1706,-4129.44,3376298.7
234.32292,68.1657,-4136.17,3376293.09
234.32059,68.1607,-4142.01,3376288.36
234.31826,68.1557,-4145.02,3376286.47
234.31593,68.1508,-4149.2,3376283.4
234.3136,68.1458,-4149.98,3376283.74
234.31127,68.1409,-4150.01,3376284.82
234.30893,68.1359,-4147.89,3376288.06
234.3066,68.1309,-4144.45,3376292.61
234.30427,68.126,-4144.94,3376293.24
234.30194,68.121,-4149.09,3376290.21
234.29728,68.1111,-4143.26,3376298.27
234.29495,68.1061,-4140.29,3376302.35
234.29261,68.1012,-4138.18,3376305.58
234.29022,68.0962,-4134.49,3376310.37
234.2879,68.0913,-4131.07,3376314.91
234.28557,68.0863,-4129.41,3376317.69
234.28325,68.0814,-4128.37,3376319.84
234.28092,68.0764,-4127.7,3376321.63
234.2786,68.0715,-4122.43,3376328.02
234.27627,68.0665,-4120.94,3376330.63
234.27395,68.0615,-4117.25,3376335.43
234.27162,68.0566,-4112.97,3376340.83
234.2693,68.0516,-4109.9,3376345.02
234.26697,68.0467,-4105.58,3376350.46
234.26465,68.0417,-4101.91,3376355.25
234.26232,68.0368,-4098.48,3376359.79
234.26,68.0318,-4095.26,3376364.13
234.25767,68.0268,-4093.18,3376367.33
234.25535,68.0219,-4091.54,3376370.09
234.25302,68.0169,-4091.33,3376371.42
234.2507,68.012,-4092.22,3376371.64
234.24837,68.007,-4092.24,3376372.74
234.24605,68.0021,-4090.44,3376375.66
234.24358,67.9971,-4086.32,3376380.91
234.24132,67.9922,-4083.87,3376384.48
234.23905,67.9872,-4080.41,3376389.06
234.23678,67.9822,-4079.15,3376391.44
234.23451,67.9773,-4077.69,3376394.03
234.23225,67.9723,-4077.46,3376395.38
234.22998,67.9674,-4074.12,3376399.84
234.22771,67.9624,-4071.87,3376403.21
234.22544,67.9574,-4069.43,3376406.78
234.22091,67.9475,-4063.92,3376414.53
234.21864,67.9425,-4060.25,3376419.32
234.21638,67.9376,-4056.13,3376424.57
234.21411,67.9326,-4053.35,3376428.47
234.21184,67.9277,-4050.62,3376432.32
234.20957,67.9227,-4047.78,3376436.28
234.20731,67.9177,-4044.84,3376440.35
234.20504,67.9128,-4041.86,3376444.45
234.20277,67.9078,-4037.83,3376449.6
234.2005,67.9029,-4031.51,3376457.04
234.1983,67.8979,-4028.3,3376461.38
234.19606,67.8929,-4026.02,3376464.79
234.19382,67.888,-4024.01,3376467.92
234.19158,67.883,-4022.11,3376470.95
234.18934,67.878,-4023.63,3376470.56
234.1871,67.8731,-4026.79,3376468.53
234.18486,67.8681,-4028.75,3376467.69
234.18262,67.8631,-4027.75,3376469.82
234.18038,67.8582,-4031.64,3376467.06
234.17814,67.8532,-4032.05,3376467.78
234.1759,67.8482,-4032.08,3376468.87
234.17365,67.8433,-4030.24,3376471.84
234.17141,67.8383,-4029.58,3376473.63
234.16917,67.8334,-4029.07,3376475.27
234.16693,67.8284,-4029.08,3376476.38
234.16469,67.8234,-4029.14,3376477.45
234.16245,67.8185,-4029.63,3376478.09
234.16021,67.8135,-4030.35,3376478.5
234.15797,67.8085,-4032.67,3376477.3
234.15573,67.8036,-4035.48,3376475.62
234.15341,67.7987,-4036.37,3376475.85
234.15121,67.7937,-4037.48,3376475.87
234.14901,67.7887,-4036.49,3376478.0
234.14681,67.7837,-4037.06,3376478.57
234.1446,67.7787,-4035.62,3376481.14
234.1424,67.7738,-4033.82,3376484.08
234.1402,67.7688,-4033.15,3376485.88
234.138,67.7638,-4028.78,3376491.39
