long_east_deg,lat_north_deg,altitude_m,radius_m
137.34639,-4.3283,-4176.85,3391474.54
137.34573,-4.3334,-4198.46,3391452.64
137.34508,-4.3385,-4212.44,3391438.37
137.34442,-4.3436,-4218.16,3391432.35
137.34377,-4.3487,-4222.3,3391427.92
137.34312,-4.3538,-4228.86,3391421.07
137.34246,-4.3589,-4234.73,3391414.91
137.34181,-4.364,-4241.21,3391408.14
137.34115,-4.3691,-4253.3,3391395.76
137.3405,-4.3742,-4260.87,3391387.9
137.33984,-4.3793,-4270.8,3391377.68
137.33919,-4.3844,-4282.63,3391365.56
137.33853,-4.3895,-4285.31,3391362.59
137.3379,-4.3946,-4294.15,3391353.45
137.33724,-4.3997,-4305.9,3391341.4
137.33658,-4.4048,-4317.63,3391329.38
137.33592,-4.4099,-4329.39,3391317.33
137.33527,-4.415,-4340.77,3391305.65
137.33461,-4.4201,-4344.34,3391301.79
137.33395,-4.4252,-4351.98,3391293.86
137.33329,-4.4303,-4353.9,3391291.64
137.33263,-4.4354,-4355.48,3391289.77
137.33197,-4.4405,-4359.87,3391285.09
137.33131,-4.4456,-4361.59,3391283.07
137.33066,-4.4507,-4361.67,3391282.7
137.33,-4.4558,-4358.78,3391285.3
137.32934,-4.4609,-4375.12,3391268.66
137.32868,-4.466,-4381.54,3391261.95
137.32802,-4.4711,-4385.38,3391257.82
137.32736,-4.4761,-4387.75,3391255.15
137.3267,-4.4812,-4392.05,3391250.56
137.32605,-4.4863,-4397.46,3391244.86
137.32539,-4.4914,-4402.84,3391239.18
137.32469,-4.4965,-4404.5,3391237.23
137.32403,-4.5016,-4412.02,3391229.41
137.32336,-4.5066,-4416.32,3391224.82
137.32269,-4.5117,-4418.33,3391222.51
137.32202,-4.5168,-4421.1,3391219.45
137.32136,-4.5219,-4428.07,3391212.18
137.32069,-4.527,-4432.56,3391207.39
137.32002,-4.532,-4437.62,3391202.04
137.31935,-4.5371,-4440.49,3391198.87
137.31869,-4.5422,-4442.88,3391196.19
137.31802,-4.5473,-4448.2,3391190.57
137.31735,-4.5524,-4448.37,3391190.11
137.31668,-4.5575,-4448.1,3391190.08
137.31602,-4.5625,-4456.87,3391181.02
137.31535,-4.5676,-4459.21,3391178.38
137.31468,-4.5727,-4462.75,3391174.54
137.31401,-4.5778,-4464.71,3391172.29
137.31335,-4.5829,-4464.09,3391172.61
137.31268,-4.588,-4463.48,3391172.93
137.31201,-4.593,-4464.4,3391171.71
137.31131,-4.5981,-4464.07,3391171.75
137.31065,-4.6032,-4462.07,3391173.45
137.30999,-4.6083,-4464.02,3391171.2
137.30933,-4.6134,-4464.21,3391170.71
137.30866,-4.6185,-4467.38,3391167.24
137.308,-4.6235,-4466.7,3391167.62
137.30734,-4.6286,-4466.85,3391167.17
137.30668,-4.6337,-4471.15,3391162.58
137.30602,-4.6388,-4469.32,3391164.11
137.30536,-4.6439,-4473.3,3391159.83
137.3047,-4.649,-4468.8,3391164.03
137.30403,-4.654,-4470.13,3391162.4
137.30337,-4.6591,-4471.39,3391160.84
137.30271,-4.6642,-4472.23,3391159.71
137.30205,-4.6693,-4471.63,3391160.01
137.30139,-4.6744,-4472.96,3391158.38
137.30073,-4.6795,-4476.74,3391154.3
137.30007,-4.6846,-4471.75,3391158.99
137.29941,-4.6896,-4473.7,3391156.74
137.29874,-4.6947,-4460.77,3391169.37
137.29814,-4.6998,-4455.61,3391174.22
137.2975,-4.7049,-4459.13,3391170.4
137.29685,-4.71,-4467.42,3391161.81
137.2962,-4.7151,-4458.63,3391170.3
137.29555,-4.7202,-4449.02,3391179.61
137.29491,-4.7253,-4439.69,3391188.64
137.29426,-4.7304,-4428.26,3391199.77
137.29361,-4.7354,-4414.86,3391212.87
137.29296,-4.7405,-4398.22,3391229.21
137.29231,-4.7456,-4390.13,3391237.0
137.29167,-4.7507,-4369.24,3391257.59
137.29102,-4.7558,-4348.61,3391277.92
137.29037,-4.7609,-4317.88,3391308.35
137.28972,-4.766,-4303.72,3391322.21
137.28907,-4.7711,-4296.73,3391328.9
137.28843,-4.7762,-4294.21,3391331.12
137.28778,-4.7813,-4288.31,3391336.72
137.28713,-4.7863,-4273.93,3391350.8
137.28648,-4.7914,-4330.16,3391294.27
137.28584,-4.7965,-4303.35,3391320.78
137.28457,-4.8067,-4266.85,3391356.66
137.28392,-4.8118,-4246.51,3391376.7
137.28326,-4.8169,-4189.61,3391433.29
137.28261,-4.822,-4139.94,3391482.66
137.28195,-4.8271,-4078.67,3391543.63
137.2813,-4.8322,-4052.85,3391569.14
137.28064,-4.8372,-4027.54,3391594.15
137.27999,-4.8423,-4023.82,3391597.57
137.27933,-4.8474,-3973.96,3391647.12
137.27868,-4.8525,-3959.75,3391661.03
137.27802,-4.8576,-3869.5,3391750.97
137.27737,-4.8627,-3815.64,3391804.53
137.27671,-4.8678,-3709.3,3391910.57
137.27606,-4.8729,-3676.5,3391943.06
137.2754,-4.878,-3675.2,3391944.06
137.27475,-4.8831,-3670.36,3391948.6
137.27409,-4.8882,-3678.87,3391939.78
137.27344,-4.8932,-3647.04,3391971.31
137.27278,-4.8983,-3607.12,3392010.93
137.27207,-4.9034,-3612.5,3392005.24
137.2714,-4.9085,-3602.77,3392014.67
137.27073,-4.9136,-3587.28,3392029.85
137.27006,-4.9187,-3573.55,3392043.28
137.26939,-4.9238,-3549.22,3392067.3
137.26872,-4.9289,-3503.71,3392112.5
137.26805,-4.934,-3481.02,3392134.89
137.26738,-4.9391,-3453.32,3392162.28
137.26671,-4.9442,-3379.71,3392235.59
137.26604,-4.9492,-3422.47,3392192.52
137.26538,-4.9543,-3412.17,3392202.52
137.26471,-4.9594,-3399.17,3392215.21
137.26404,-4.9645,-3376.86,3392237.22
137.26337,-4.9696,-3356.33,3392257.44
137.2627,-4.9747,-3328.38,3392285.09
137.26203,-4.9798,-3311.3,3392301.86
137.26136,-4.9849,-3297.87,3392314.98
137.26069,-4.99,-3267.42,3392345.13
137.26002,-4.9951,-3253.24,3392359.0
137.25935,-5.0002,-3235.7,3392376.24
137.25865,-5.0053,-3192.04,3392419.6
137.25799,-5.0103,-3202.13,3392409.2
137.25733,-5.0154,-3214.82,3392396.2
137.25666,-5.0205,-3204.42,3392406.3
137.256,-5.0256,-3183.56,3392426.85
137.25533,-5.0307,-3140.98,3392469.12
137.25467,-5.0358,-3153.42,3392456.37
137.25334,-5.046,-3116.94,3392492.24
137.25267,-5.0511,-3096.89,3392511.98
137.25201,-5.0561,-3089.45,3392519.12
137.25134,-5.0612,-3083.3,3392524.96
137.25068,-5.0663,-3070.35,3392537.6
137.25001,-5.0714,-3043.82,3392563.83
137.24935,-5.0765,-3028.2,3392579.14
137.24868,-5.0816,-3040.29,3392566.74
137.24802,-5.0867,-3028.04,3392578.68
137.94138,-4.1074,-1993.64,3393663.7
137.94071,-4.1125,-2145.87,3393511.18
137.94008,-4.1176,-2266.59,3393390.18
137.93943,-4.1227,-2338.78,3393317.7
137.93877,-4.1278,-2339.48,3393316.71
137.93812,-4.1329,-2331.93,3393323.97
137.93747,-4.138,-2403.1,3393252.51
137.93681,-4.143,-2442.07,3393213.26
137.93616,-4.1481,-2561.52,3393093.52
137.93551,-4.1532,-2706.0,3392948.75
137.93485,-4.1583,-2820.4,3392834.06
137.9342,-4.1634,-2909.15,3392745.02
137.93355,-4.1685,-3012.25,3392641.64
137.93289,-4.1735,-3062.76,3392590.84
137.93224,-4.1786,-3127.47,3392525.84
137.93159,-4.1837,-3120.33,3392532.69
137.93093,-4.1888,-3154.44,3392498.29
137.93028,-4.1939,-3204.14,3392448.31
137.92963,-4.199,-3238.26,3392413.9
137.92897,-4.2041,-3359.91,3392291.96
137.92767,-4.2142,-3607.17,3392044.12
137.92702,-4.2193,-3696.63,3391954.39
137.92636,-4.2244,-3742.49,3391908.24
137.92571,-4.2295,-3753.69,3391896.75
137.92506,-4.2346,-3765.12,3391885.02
137.9244,-4.2397,-3777.19,3391872.66
137.92375,-4.2448,-3788.73,3391860.83
137.9231,-4.2499,-3798.4,3391850.87
137.92244,-4.2549,-3820.12,3391828.86
137.92179,-4.26,-3841.37,3391807.32
137.92114,-4.2651,-3915.56,3391732.84
137.92048,-4.2702,-3972.17,3391675.93
137.91983,-4.2753,-3998.57,3391649.24
137.91918,-4.2804,-4023.59,3391623.93
137.91852,-4.2855,-4040.44,3391606.79
137.91787,-4.2906,-4057.27,3391589.67
137.91722,-4.2957,-4072.35,3391574.3
137.91656,-4.3007,-4083.2,3391563.16
137.91591,-4.3058,-4087.56,3391558.5
137.91526,-4.3109,-4085.73,3391560.04
137.9146,-4.316,-4098.33,3391547.15
137.91327,-4.3262,-4116.99,3391527.9
137.91261,-4.3313,-4127.73,3391516.87
137.91195,-4.3364,-4141.97,3391502.33
137.91129,-4.3415,-4152.82,3391491.19
137.91063,-4.3466,-4164.75,3391478.97
137.90997,-4.3517,-4172.6,3391470.82
137.90931,-4.3567,-4177.02,3391466.11
137.90865,-4.3618,-4184.12,3391458.71
137.90799,-4.3669,-4196.0,3391446.54
137.90733,-4.372,-4202.28,3391439.96
