long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
137.91984,-4.8229,-1814.42,3393800.3,18.120863766348588
137.91917,-4.828,-1702.13,3393912.28,19.19415642054334
137.9185,-4.8331,-1574.26,3394039.85,20.148437042399422
137.91783,-4.8382,-1454.33,3394159.47,20.963623519538707
137.91717,-4.8433,-1348.9,3394264.59,20.702168628150698
137.9165,-4.8483,-1244.62,3394368.57,20.565123235570827
137.91583,-4.8534,-1147.51,3394465.37,19.80932048209727
137.91517,-4.8585,-1051.46,3394561.11,18.959922313034618
137.9145,-4.8636,-953.58,3394658.69,18.183517272677207
137.91383,-4.8687,-861.71,3394750.25,17.439274414559954
137.91317,-4.8737,-780.99,3394830.66,16.630061795588624
137.9125,-4.8788,-695.52,3394915.82,15.831540268375493
137.91183,-4.8839,-622.73,3394988.31,14.321760783981546
137.91116,-4.889,-545.39,3395065.34,13.966110588891535
137.9105,-4.8941,-468.1,3395142.32,13.598810051786057
137.90983,-4.8992,-394.62,3395215.51,13.26275525640044
137.90916,-4.9043,-333.86,3395275.96,12.493399811147457
137.9085,-4.9093,-247.95,3395361.56,11.156514360145485
137.90783,-4.9144,-188.18,3395421.02,9.42693575531048
137.90716,-4.9195,-149.63,3395459.26,7.88455635861222
137.90649,-4.9246,-116.4,3395492.18,6.8640718956788795
137.90583,-4.9297,-90.27,3395518.0,6.313447482504373
137.90516,-4.9348,-61.29,3395546.67,6.495489799970009
137.90449,-4.9399,-27.86,3395579.79,6.722300614516609
137.90382,-4.945,-0.48,3395606.86,7.108735655024291
137.90315,-4.9501,18.2,3395625.24,6.925847946508291
137.90249,-4.9552,27.66,3395634.39,6.69280961284078
137.90182,-4.9603,45.96,3395652.38,6.326792502787394
137.90115,-4.9654,59.67,3395665.78,6.094578022235542
137.90048,-4.9705,70.89,3395676.69,5.406634230392747
137.89982,-4.9756,83.48,3395688.97,6.228402478513347
137.89915,-4.9807,84.19,3395689.37,6.9082350479313455
137.89848,-4.9858,70.51,3395675.38,7.252150907680378
137.89781,-4.9909,69.15,3395673.71,8.519390576766058
137.89714,-4.996,39.98,3395644.23,9.443220189055841
137.89648,-5.0011,5.11,3395609.05,9.513262319509684
137.89581,-5.0062,-28.16,3395575.47,9.634347994964976
137.89514,-5.0113,-60.64,3395542.68,8.36936229741745
137.89447,-5.0164,-86.82,3395516.19,7.599332164027506
137.8938,-5.0215,-102.33,3395500.37,7.2676396718783165
137.89314,-5.0266,-111.31,3395491.08,5.938978626183205
137.89247,-5.0317,-100.56,3395501.52,5.116199883175798
137.8918,-5.0368,-106.42,3395495.35,4.87452657644767
137.89113,-5.0419,-120.62,3395480.84,4.754233993867969
137.89046,-5.047,-118.52,3395482.63,5.031837418874589
137.8898,-5.0521,-125.56,3395475.27,4.9275565437246795
137.88913,-5.0572,-134.19,3395466.33,5.283250640192046
137.88846,-5.0623,-145.25,3395454.96,5.914949730687404
137.88779,-5.0674,-160.01,3395439.89,6.2380310659273785
137.88712,-5.0725,-180.68,3395418.91,6.30100160521312
137.88645,-5.0776,-196.14,3395403.14,6.605595125917697
137.88579,-5.0827,-206.81,3395392.16,6.704252004899708
