long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
77.81188,18.1058,-2680.47,3391878.86,0.6017499796556554
77.81117,18.1109,-2679.56,3391878.91,0.6753079353265615
77.81047,18.1159,-2671.81,3391885.8,1.0481749554372157
77.80977,18.121,-2653.06,3391903.7,0.8343938134351728
77.80907,18.126,-2639.46,3391916.44,0.39470567282064584
77.80836,18.1311,-2649.04,3391905.99,0.28946435983082847
77.80766,18.1361,-2661.24,3391892.93,0.6066394878310795
77.80696,18.1412,-2667.88,3391885.43,0.5152179693223349
77.80625,18.1462,-2668.82,3391883.62,0.24647877786240516
77.80555,18.1513,-2665.33,3391886.25,0.11463940661320018
77.80485,18.1563,-2655.83,3391894.89,0.12039636886409497
77.80414,18.1614,-2668.84,3391881.01,0.26411297519048094
77.80344,18.1664,-2669.78,3391879.21,0.5326178418104925
77.80274,18.1715,-2673.88,3391874.25,0.6266409346971185
77.80203,18.1765,-2677.71,3391869.56,0.4920906418472656
77.80133,18.1816,-2682.92,3391863.48,0.5401429668716906
77.80063,18.1866,-2674.63,3391870.91,0.7230786971455956
77.79993,18.1917,-2681.44,3391863.24,0.9123571565654379
77.79922,18.1967,-2681.39,3391862.42,1.169302243426522
77.79852,18.2018,-2677.55,3391865.4,1.1605047718408272
77.79782,18.2068,-2673.55,3391868.54,1.141189258170566
77.79711,18.2119,-2665.58,3391875.64,1.209434697358051
77.79571,18.222,-2672.17,3391867.33,1.5190956870353722
77.79501,18.227,-2683.98,3391854.66,1.5102741551793568
77.79431,18.2321,-2688.0,3391849.78,1.312758125767125
77.79361,18.2371,-2692.2,3391844.71,1.1980239142501143
77.79291,18.2422,-2698.53,3391837.52,1.059816140226052
77.79221,18.2472,-2705.2,3391829.99,0.9466159247179671
77.79151,18.2523,-2708.33,3391825.99,0.8189595527852154
77.79081,18.2573,-2708.62,3391824.84,0.7798973154949863
77.79011,18.2624,-2711.5,3391821.1,0.11019087227775168
77.7894,18.2674,-2711.48,3391820.25,0.5384690036484858
77.7887,18.2725,-2708.34,3391822.53,0.6128452694080392
77.788,18.2775,-2709.59,3391820.41,0.7073548169278411
77.7873,18.2826,-2707.16,3391821.98,0.7281150403024473
77.7866,18.2876,-2703.45,3391824.83,0.7494206684361758
77.7859,18.2927,-2702.43,3391824.98,0.7721565751107843
77.7852,18.2977,-2699.72,3391826.83,0.7344616219141381
77.7845,18.3028,-2697.38,3391828.31,0.6740020367816187
77.7838,18.3079,-2694.54,3391830.28,0.6570545962758594
77.78309,18.3129,-2688.05,3391835.91,0.6509222579976939
77.78239,18.318,-2684.1,3391839.0,0.6152728881907741
77.78169,18.323,-2680.97,3391841.27,0.4947770541391703
77.78099,18.328,-2679.51,3391841.86,0.29649276670461466
77.78029,18.3331,-2677.04,3391843.47,0.2976361024459196
