long_east_deg,lat_north_deg,altitude_m,radius_m,roughness_rms_m
354.73654,-1.4496,-1449.67,3394098.45,
354.73589,-1.4547,-1447.79,3394100.24,0.4604748911051355
354.73524,-1.4598,-1444.72,3394103.22,0.49094363442157535
354.73459,-1.4649,-1441.54,3394106.31,0.49360849729626555
354.73394,-1.47,-1438.63,3394109.13,0.8242831034327063
354.73329,-1.4751,-1436.1,3394111.56,
354.73264,-1.4802,-1434.44,3394113.13,
354.73199,-1.4854,-1433.5,3394113.98,
354.73136,-1.4905,-1433.08,3394114.31,
354.73071,-1.4956,-1433.25,3394114.04,
354.73005,-1.5007,-1433.48,3394113.71,
354.72939,-1.5058,-1434.05,3394113.05,
354.72874,-1.5109,-1433.17,3394113.83,
354.72808,-1.516,-1433.07,3394113.83,
354.72742,-1.5211,-1432.82,3394113.99,
354.72677,-1.5262,-1431.6,3394115.11,
354.72611,-1.5313,-1429.86,3394116.75,
354.72545,-1.5364,-1427.8,3394118.72,
354.7248,-1.5415,-1425.8,3394120.62,
354.72414,-1.5465,-1423.91,3394122.42,
354.72348,-1.5516,-1422.84,3394123.39,
354.72283,-1.5567,-1423.04,3394123.09,
354.72217,-1.5618,-1423.72,3394122.32,
354.72151,-1.5669,-1423.25,3394122.69,
354.72086,-1.572,-1423.0,3394122.84,
354.7202,-1.5771,-1424.82,3394120.93,
354.71954,-1.5822,-1426.8,3394118.85,
354.71889,-1.5873,-1428.66,3394116.89,
354.71821,-1.5924,-1429.82,3394115.63,
354.71755,-1.5975,-1429.91,3394115.44,0.9303742692887705
354.71689,-1.6026,-1429.74,3394115.51,0.6935024983756108
354.71623,-1.6077,-1428.94,3394116.2,0.4614510094770794
354.71557,-1.6128,-1428.43,3394116.61,0.33368757732562904
354.71491,-1.6179,-1427.14,3394117.8,0.24934666858252738
354.71425,-1.623,-1426.89,3394117.95,0.2659571432732682
354.71359,-1.628,-1425.3,3394119.44,0.4429103317219036
354.71293,-1.6331,-1424.37,3394120.26,0.6094478831524442
354.71227,-1.6382,-1423.9,3394120.63,0.6880454118371185
354.71161,-1.6433,-1423.64,3394120.79,1.0507443927041324
354.71095,-1.6484,-1423.41,3394120.92,1.2251980198114034
354.71028,-1.6535,-1421.43,3394122.79,1.030091010404743
354.70962,-1.6586,-1418.99,3394125.13,0.8684909072536263
354.70896,-1.6637,-1417.06,3394126.96,1.0679670241268
354.7083,-1.6688,-1417.24,3394126.68,1.003908507296989
354.70764,-1.6739,-1416.56,3394127.26,0.5395011276645155
354.70698,-1.679,-1415.75,3394127.97,0.42406180442927677
354.70632,-1.6841,-1415.28,3394128.33,0.36380437137794036
354.70566,-1.6892,-1414.97,3394128.54,0.4086740346250781
354.70498,-1.6942,-1415.55,3394127.87,0.42564611375417916
354.70432,-1.6993,-1415.1,3394128.21,0.7810673270553105
354.70367,-1.7044,-1413.41,3394129.79,1.5104284619451254
354.70301,-1.7095,-1413.26,3394129.84,1.9193182167155725
354.70236,-1.7146,-1414.14,3394128.85,1.6204114844468416
354.7017,-1.7197,-1415.92,3394126.96,1.018950880475884
354.70105,-1.7248,-1418.0,3394124.77,0.8863256138887768
354.70039,-1.7299,-1419.62,3394123.05,0.8727270085521458
354.69974,-1.735,-1420.6,3394121.96,1.068555189414673
354.69908,-1.7401,-1421.58,3394120.87,
354.69843,-1.7452,-1422.1,3394120.25,
354.69777,-1.7503,-1427.9,3394114.34,
354.69712,-1.7554,-1424.75,3394117.38,
354.69646,-1.7605,-1424.69,3394117.34,
354.69581,-1.7656,-1426.7,3394115.22,
354.69516,-1.7707,-1427.68,3394114.13,
354.6945,-1.7758,-1427.87,3394113.83,
354.69385,-1.7809,-1427.6,3394114.0,
354.69319,-1.786,-1427.08,3394114.41,
354.69254,-1.7911,-1426.93,3394114.45,
354.6919,-1.7962,-1427.58,3394113.69,
354.69125,-1.8013,-1427.02,3394114.14,
354.6906,-1.8064,-1425.55,3394115.5,
354.68994,-1.8115,-1423.23,3394117.71,
354.68929,-1.8166,-1419.67,3394121.16,
354.68864,-1.8217,-1415.69,3394125.02,
354.68799,-1.8268,-1411.57,3394129.03,
354.68734,-1.8319,-1408.24,3394132.25,
354.68669,-1.837,-1404.36,3394136.02,
354.68603,-1.8421,-1400.99,3394139.28,
354.68538,-1.8472,-1398.0,3394142.15,
354.68473,-1.8523,-1395.38,3394144.66,
354.68408,-1.8574,-1392.11,3394147.82,
354.68343,-1.8626,-1389.0,3394150.82,
354.68277,-1.8677,-1383.5,3394156.21,
354.68212,-1.8728,-1379.12,3394160.47,
354.68147,-1.8779,-1375.97,3394163.51,
354.68082,-1.883,-1373.25,3394166.12,
354.68017,-1.8881,-1374.28,3394164.98,
354.67952,-1.8932,-1374.86,3394164.29,
354.67889,-1.8983,-1374.64,3394164.39,
354.67823,-1.9034,-1373.29,3394165.62,
354.67758,-1.9085,-1370.93,3394167.87,
354.67692,-1.9136,-1367.62,3394171.06,
354.67626,-1.9187,-1365.08,3394173.48,
354.6756,-1.9238,-1362.48,3394175.97,
354.67495,-1.9289,-1361.96,3394176.37,
354.67429,-1.934,-1361.39,3394176.82,
354.67363,-1.9391,-1362.82,3394175.28,0.6956915359238359
354.67298,-1.9442,-1363.21,3394174.77,0.7694669760972832
354.67232,-1.9493,-1363.86,3394174.0,0.8324848479798337
354.67166,-1.9544,-1365.64,3394172.1,1.204178415595682
354.671,-1.9595,-1368.55,3394169.08,1.0347338174701508
354.67035,-1.9646,-1370.18,3394167.33,1.1934027027752123
354.66969,-1.9696,-1374.65,3394162.74,1.3352554486399744
354.66903,-1.9747,-1374.51,3394162.77,1.1634855872827616
354.66838,-1.9798,-1374.42,3394162.74,1.0588293889697882
354.66772,-1.9849,-1374.8,3394162.24,0.8486712835967939
354.66706,-1.99,-1374.3,3394162.63,1.0042998570636599
354.66641,-1.9951,-1373.41,3394163.4,0.8898198273108406
354.66507,-2.0053,-1371.8,3394164.76,1.1202470575035037
354.66441,-2.0104,-1372.71,3394163.73,1.2289316868761986
354.66375,-2.0155,-1373.71,3394162.61,0.5444470259450042
354.66309,-2.0206,-1373.99,3394162.2,0.4546779137486439
354.66243,-2.0257,-1376.02,3394160.05,0.4664576803169356
354.66177,-2.0308,-1377.38,3394158.57,0.49416369426967255
354.66111,-2.0359,-1377.3,3394158.53,0.7506924249542668
354.66045,-2.041,-1378.89,3394156.81,1.1239505048983336
354.65979,-2.0461,-1380.9,3394154.68,1.3929587005445745
354.65913,-2.0511,-1384.05,3394151.41,1.296490906233371
354.65846,-2.0562,-1386.97,3394148.37,1.2972828986122045
354.6578,-2.0613,-1391.97,3394143.24,1.0775252539525373
354.65714,-2.0664,-1396.54,3394138.55,0.8564940006782361
