long_east_deg,lat_north_deg,altitude_m,radius_m,roughness_rms_m
175.33263,-14.5263,-1896.89,3392346.23,2.2458446683707987
175.33195,-14.5314,-1898.86,3392343.5,2.3173317823437776
175.33127,-14.5366,-1898.47,3392343.13,2.5754175707297
175.33059,-14.5417,-1899.88,3392340.96,2.6913035968279724
175.32991,-14.5468,-1902.77,3392337.31,2.7676311926128405
175.32923,-14.5519,-1905.25,3392334.07,2.7644733566177653
175.32855,-14.557,-1905.76,3392332.8,2.7741060115668956
175.32786,-14.5621,-1905.42,3392332.38,2.488036674542686
175.32718,-14.5673,-1904.08,3392332.96,1.538735340673503
175.3265,-14.5724,-1905.11,3392331.17,1.410869524244711
175.32582,-14.5775,-1904.25,3392331.27,1.5058555415842454
175.32514,-14.5826,-1904.61,3392330.15,1.4994803064983528
175.32446,-14.5877,-1904.85,3392329.15,1.6594665221777138
175.32377,-14.5929,-1903.88,3392329.36,1.6278355588180389
175.32309,-14.598,-1903.75,3392328.73,1.6697017307316013
175.32241,-14.6031,-1903.7,3392328.02,1.6125594686503328
175.32173,-14.6082,-1902.36,3392328.6,1.5518582720101162
175.32105,-14.6133,-1902.43,3392327.77,1.5783820495056895
175.32037,-14.6184,-1900.68,3392328.76,1.470173976003849
175.31968,-14.6236,-1901.39,3392327.29,2.0427067371671703
175.319,-14.6287,-1899.09,3392328.83,4.6528906976968365
175.31832,-14.6338,-1898.57,3392328.59,6.666113782165758
175.31764,-14.6389,-1904.45,3392321.95,6.56562303449074
175.31696,-14.644,-1907.95,3392317.69,6.612024859630485
175.31628,-14.6492,-1928.17,3392296.7,6.979921494116354
175.3156,-14.6543,-1923.92,3392300.19,8.376153782119772
175.31491,-14.6594,-1918.84,3392304.51,9.070752562569092
175.31423,-14.6645,-1903.42,3392319.17,8.895132709528294
175.31355,-14.6696,-1898.5,3392323.33,13.296680386037444
175.31287,-14.6747,-1888.98,3392332.09,31.691234716718863
175.31218,-14.6798,-1880.65,3392339.66,56.08836861634119
175.3115,-14.6849,-1845.22,3392374.33,69.81833340900519
175.31082,-14.6901,-1807.64,3392411.15,72.1353376314879
