long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,label
269.44478,-0.8406,3341.35,3400150.84,4.590526720559941,8.255208725020864,1
269.44411,-0.8355,3329.5,3400139.13,4.500547899623352,7.928946301645378,1
269.44344,-0.8304,3344.22,3400153.98,4.347753980801048,6.696114849619384,1
269.44277,-0.8254,3353.72,3400163.62,4.177297709730924,6.3922815557433,1
269.4421,-0.8203,3349.7,3400159.74,3.923754488565096,7.619715021251187,1
269.44144,-0.8152,3343.95,3400154.12,3.775125012997841,6.993478563952112,1
269.44077,-0.8102,3339.12,3400149.43,3.6916961312731007,4.868423587857734,1
269.4401,-0.8051,3330.94,3400141.38,3.8579468569707176,4.5799193653852655,1
269.43943,-0.8,3320.62,3400131.2,4.212454976923941,2.1731423371048235,1
269.42073,-0.6581,3238.51,3400052.66,0.4665596221258249,1.604962790934155,1
269.42006,-0.653,3241.19,3400055.46,0.54320481607678,1.515798497089093,1
269.41941,-0.648,3245.34,3400059.73,0.5492941739481958,1.4303539888274435,1
269.41873,-0.6429,3249.72,3400064.22,0.49856100627618233,1.8072493842497441,1
269.41806,-0.6378,3250.92,3400065.54,0.4498517701454129,1.7290212813837211,1
269.41738,-0.6327,3252.33,3400067.06,0.3650238541761692,1.64639358198697,1
269.4167,-0.6276,3250.47,3400065.31,0.3215476440651977,1.6715780853096267,1
269.41603,-0.6226,3251.78,3400066.73,0.41005510328107214,0.9891808476194912,1
269.41535,-0.6175,3252.72,3400067.79,0.3827252478622347,1.703501411769465,1
269.41467,-0.6124,3252.03,3400067.21,0.43104401153597877,1.8223931942415528,1
269.414,-0.6073,3254.76,3400070.05,0.4017972156031362,1.8127383775508255,1
269.41332,-0.6023,3259.92,3400075.32,0.1922439243990722,1.7130200913086522,1
269.41264,-0.5972,3253.6,3400069.12,0.16862650979876853,2.035927361001409,1
269.41197,-0.5921,3255.12,3400070.75,0.35033624809036756,2.44055809682968,1
269.41129,-0.587,3256.15,3400071.89,0.3446052028932788,2.4333521166950924,1
269.41061,-0.5819,3260.83,3400076.68,0.4882395293512443,1.0008172325639102,1
269.40994,-0.5769,3264.75,3400080.72,0.4875732014168821,1.172164817297543,1
269.40926,-0.5718,3265.51,3400081.59,0.4377223857803364,1.4984385571720784,1
269.40858,-0.5667,3267.53,3400083.72,0.3072118215446702,1.0803429588805036,1
269.40791,-0.5616,3269.1,3400085.4,0.3269619727141715,0.8364422968505593,1
269.40723,-0.5566,3269.73,3400086.15,0.3766019559119383,0.9117092980382152,1
269.40655,-0.5515,3269.57,3400086.1,0.4006227242479067,0.8248583105811814,1
269.40587,-0.5464,3271.09,3400087.73,0.36360317880060916,1.017439974266656,1
269.4052,-0.5413,3273.79,3400090.53,0.364014835929008,1.0956173338408859,1
