long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,label,mission
301.25338,-13.3398,-5019.04,3389710.05,0.2942905766734259,4.336049904620698,-1,
301.25269,-13.3449,-5011.63,3389716.72,0.3559710358545553,4.11312574386553,-1,
301.252,-13.35,-5013.23,3389714.38,0.3871588312442493,4.3806442477019605,-1,
301.25132,-13.3551,-5015.75,3389711.12,0.5940729654565923,6.374663623828068,-1,
301.25063,-13.3603,-5018.88,3389707.25,1.261484542290645,10.304854366657302,-1,
301.24994,-13.3654,-5011.1,3389714.29,2.567062805285261,13.128678936787937,-1,
301.24926,-13.3705,-4993.83,3389730.82,4.068885599344369,15.271081926150083,-1,
301.24857,-13.3756,-4968.79,3389755.12,5.58550933537642,13.883004381827172,-1,
301.24788,-13.3807,-4929.62,3389793.55,6.704835666247093,10.052680043859487,-1,
301.24719,-13.3858,-4887.23,3389835.2,7.204818305939642,5.943163813150947,-1,
301.24651,-13.391,-4843.76,3389877.93,7.0244937206898,7.69795689138068,-1,
301.24582,-13.3961,-4807.81,3389913.14,8.106229943690135,21.969946009680047,-1,
301.24513,-13.4012,-4778.32,3389941.89,9.557714688615924,29.92737511120429,-1,
301.24445,-13.4063,-4758.56,3389960.91,11.068015739976628,31.730743834638638,-1,
301.24377,-13.4114,-4640.16,3390078.57,11.531853873478973,30.158321893742468,-1,
301.24309,-13.4166,-4555.08,3390162.92,10.374720187728617,36.79842189209744,-1,
301.24241,-13.4217,-4527.07,3390190.2,7.94497222201544,46.18049533427924,-1,
301.24173,-13.4268,-4509.8,3390206.73,4.835076526759383,29.928337220998664,-1,
301.24105,-13.4319,-4496.73,3390219.07,3.735618643675153,17.61148446410745,-1,
301.24037,-13.437,-4520.14,3390194.93,3.889780429784292,15.411754514877943,-1,
301.23969,-13.4421,-4535.57,3390178.76,4.482591290481845,10.631355092668615,-1,
301.23901,-13.4473,-4555.05,3390158.55,4.334820973754213,10.97841806889674,-1,
301.23834,-13.4524,-4573.47,3390139.4,4.557014405431325,14.172054709285913,-1,
301.19117,-13.8055,-4825.59,3389837.5,5.535561982222768,8.618283321306544,-1,
301.19048,-13.8106,-4821.88,3389840.5,5.443063660274484,15.92672139818952,-1,
301.18912,-13.8208,-4856.47,3389804.5,5.271016769198176,19.564822507059677,-1,
301.18844,-13.826,-4887.89,3389772.37,6.175889280998913,21.08739300475584,-1,
301.18708,-13.8362,-4891.26,3389767.59,7.205067899179612,18.94165066910097,-1,
301.1864,-13.8413,-4902.85,3389755.29,6.935259858002821,24.652325880455365,-1,
301.18572,-13.8465,-4890.49,3389766.95,6.329793576784721,25.85185124984925,-1,
301.18504,-13.8516,-4881.13,3389775.6,4.458429286604306,18.847694442626374,-1,
301.18436,-13.8567,-4842.81,3389813.22,2.559042921746593,11.817537196567203,-1,
301.18368,-13.8618,-4837.2,3389818.12,2.689819608054178,13.110702784201704,-1,
301.183,-13.867,-4834.27,3389820.35,4.82401267645393,16.137287068607336,-1,
301.18232,-13.8721,-4851.56,3389802.35,3.972675471236972,16.10426046077676,-1,
301.18164,-13.8772,-4798.85,3389854.36,5.300734705469603,15.38597163701698,-1,
301.18096,-13.8823,-4772.28,3389880.22,3.5031989565842223,17.559096930474123,-1,
301.18028,-13.8875,-4797.42,3389854.38,2.995008202872747,17.740460470304463,-1,
301.1796,-13.8926,-4794.19,3389856.9,1.799561871812642,15.1178539569605,-1,
301.17892,-13.8977,-4807.9,3389842.48,3.671088880416106,19.82760979167325,-1,
301.17824,-13.9028,-4789.15,3389860.53,3.4078749512194264,17.065780894193654,-1,
301.17756,-13.908,-4772.41,3389876.56,3.187584972805739,16.681978587437815,-1,
301.17688,-13.9131,-4714.65,3389933.62,3.160235843414423,19.05178789926213,-1,
301.1762,-13.9182,-4725.24,3389922.33,2.962938658384464,20.12569075992033,-1,
301.17552,-13.9233,-4741.5,3389905.37,3.6842479548366622,21.85868978026419,-1,
301.17484,-13.9285,-4716.1,3389930.07,3.7410527177422095,21.55006172096452,-1,
301.17416,-13.9336,-4703.93,3389941.54,5.641573523132389,21.099393705121948,-1,
301.17348,-13.9387,-4665.28,3389979.49,8.377749822841988,15.344244795982512,-1,
301.14656,-14.1383,-3339.43,3391278.35,6.263862857767182,14.033330124942246,-1,
301.14586,-14.1434,-3280.35,3391336.74,5.8392016648731655,14.760006551284189,-1,
301.14516,-14.1485,-3282.38,3391334.04,4.674477779689446,27.897827423657247,-1,
301.14447,-14.1537,-3277.67,3391338.07,5.430241429854751,11.888965707063502,-1,
301.14377,-14.1588,-3268.34,3391346.72,4.742167766566525,8.624056154601545,-1,
301.14308,-14.1639,-3262.09,3391352.28,5.092980186765444,8.806758910240545,-1,
301.14238,-14.169,-3245.3,3391368.39,4.94035572100168,7.263559627982603,-1,
301.14168,-14.1741,-3215.59,3391397.42,4.959524455361144,7.182068964429667,-1,
301.14099,-14.1792,-3219.43,3391392.9,4.865011976103284,6.989187198809956,-1,
301.14029,-14.1843,-3213.04,3391398.6,4.8124758914902,8.465877594173,-1,
301.13959,-14.1894,-3193.19,3391417.77,5.282506997026344,12.459551303404425,-1,
301.1389,-14.1946,-3178.73,3391431.55,5.939493594208404,11.171197461839045,-1,
301.1382,-14.1997,-3143.0,3391466.61,6.706913213658793,9.042370382877523,-1,
